LAMBOURNE-THE-LABURNAMS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU328790,Long,-1.5287764,Lat,51.508983,Elevation,415,ft.,,,,,,,,,,,,
Station no,RR4197,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.98,1.3,3.27,3.19,2.73,4.61,3.23,0.8,0.97,3.06,2.7,,,,,,,,
February,,3.15,1.83,4.74,2.18,3.94,0.76,0.88,2.47,2.24,0.89,0.01,,,,,,,,
March,,2.23,1.3,0.94,2.12,1.7,1.97,2.28,3.94,2.44,1.22,2.41,,,,,,,,
April,,0.61,4.56,1.04,2.06,1.67,2.05,1.08,2.22,2.82,1.77,1.27,,,,,,,,
May,,1,2.74,1.94,1.13,2.58,4.1,1.94,1.29,2.78,2.2,2.53,,,,,,,,
June,,2.47,3.61,1.88,3.9,1.4,1.39,1.19,2.13,1.09,1.78,1.15,,,,,,,,
July,,1.68,3.65,3.77,2.26,0.42,3.05,0.81,4.46,2.75,3.39,2.88,,,,,,,,
August,,5.1,2.01,0.68,1.74,1.1,1.27,1.01,1.8,1.99,2.47,5.69,,,,,,,,
September,4.72,1.77,2.73,3.83,1.26,4.58,1.79,2.21,1.11,1.16,1.32,1.76,,,,,,,,
October,6.28,1.53,6.94,2.41,1.13,4.39,4.43,2,1.14,2.63,1.18,7.28,,,,,,,,
November,2.92,3.58,4.06,3.18,1.54,4.42,3.29,3.45,5.44,1.26,2.17,3.01,,,,,,,,
December,3.45,3.2,3.53,0.65,2.34,1.09,5.88,2.04,2.13,1.77,0.79,4.64,,,,,,,,
Total,,28.3,38.26,28.33,24.85,30.02,34.59,22.12,28.93,23.9,22.24,35.33,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is 21 Oxford St and was The Laburnams. Altitudes match. Gauge moved to College House at the beginning of 1892,,,,,,,,,,,,,,,,,,,,
