LAMBOURNE-COLLEGE-HOUSE,,,,,,,,,,
Grid ref,SU325788,Long,-1.5331173,Lat,51.507202,Elevation,422,ft.,,
Station no,RR4197,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.02,2,2.34,3.46,0.8,,,
February,,,1.1,3.99,1.89,0.05,0.37,,,
March,,,0.91,0.23,2.2,2.45,3.17,,,
April,,,0.7,0,1.91,2.16,0.93,,,
May,,,1.53,1.4,2.19,0.48,,,,
June,,,1.65,1.36,3.35,0.63,,,,
July,,,2.51,2.62,3.91,3.68,,,,
August,,,4.29,1.57,2.34,2.65,,,,
September,,,2.9,0.95,2.2,0.91,,,,
October,,,3.97,3.74,3.8,3.97,,,,
November,,,1.87,2.29,6.56,5.42,,,,
December,,,1.13,2.9,2.86,2.65,,,,
Total,,,23.58,23.05,35.55,28.51,,,,
,,,,,,,,,,
NGR is College House. Altitude from OS map,,,,,,,,,,
