BANSTEAD-GREEN-CURVE,,,,,,,,,,
Grid ref,TQ245599,Long,-0.21399,Lat,51.324585,Elevation,450,ft,,
Station no,134/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.26,1.24,3.22,4.14,1.76,2.51,2.69,2.88
February,,,1.34,2.39,1.96,0.34,3.75,2.26,0.09,2.21
March,,,0.45,2.33,1.45,0.81,1.08,1.52,2.84,2.12
April,,,2.86,0.32,0.33,1.56,0.23,1.35,2.79,0.78
May,,,1.75,2.66,4.07,0.25,1.44,2.85,1.24,2.12
June,,,1.69,3.75,2.28,2.35,0.9,4.49,1.38,1.52
July,,,3.66,2.83,1.19,6.42,2.79,1.52,1.5,2.7
August,,,1.56,2.75,0.97,3.04,3.42,3.26,1.29,3.19
September,,,3.28,2.35,1.97,2.66,3.15,5.01,0.17,2.87
October,,,4.05,2.28,3.45,1.38,1.66,3.45,2.45,6.42
November,,,1.4,5.51,1.09,0.77,3.02,1.85,3.87,5.04
December,,,0.79,2.09,2.48,4.05,2.46,3.41,5.22,3.06
Total,,,24.09,30.5,24.46,27.77,25.66,33.48,25.53,34.91
,,,,,,,,,,
30 Green Curve Banstead,,,,,,,,,,
1956 Footnote in BR Gauge oversheltered,,,,,,,,,,
,,,,,,,,,,
SRC_ID 6561,,,,,,,,,,
1953-1967,,,,,,,,,,
