HIGHER-SWINESHAW-RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK006996,Long,-1.9924251,Lat,53.493106,Elevation,965,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.1,3.9,4.53,5.22,6.15,2.23,3.45,4.06,5.21,6.81,4.94,5.45,3.22,9.94,2.72,3.73,4.97,4.71,2.6,4.91,3.36,5.92,3.64,4.2,4.03,6.4
February,,,,,5.93,3.52,6.8,1.98,4.57,3.31,5.54,1.91,3.03,3.28,5.18,7.2,,2.94,2.34,4.99,3.29,1.45,3.25,3.01,1.92,1.73,3.18,6.52,0.61,3.54
March,,,,,2.61,2.58,3.44,1.72,3.01,3.76,4.91,2.39,1.79,0.99,1.63,1.35,,1.35,1.97,2.36,5.45,2.91,2.76,2.92,2.36,1.54,4.37,3.2,2.17,1.05
April,,,,,3.14,1.58,3.63,0.6,2.6,3.29,2.97,1.95,2.53,3.44,2.58,1.97,3.08,1.6,4.7,4.03,2.72,4.08,2.83,0.98,2.41,3.12,0.96,1.43,3.57,2.4
May,,,,,0.76,0.98,2.38,4.21,2.83,2.03,2.6,3.44,2.4,4.92,3.53,1.48,3.51,1.39,2.96,1.52,1.94,2.51,2.67,4.39,3.95,1.58,1.36,3.66,1.01,2.1
June,,,,,3.93,3.25,2.21,5.08,3.44,0.91,2.32,1.2,4.16,3.65,5.88,3.83,2.59,5.69,1.21,3.32,1.67,3.5,4.11,4.14,3.18,3.77,2.43,5.41,2.8,1.99
July,,,,,2.39,4.57,3.48,5.4,7.92,5.17,2.8,5.39,2.92,4.52,2.13,7.84,3.44,2.59,2.3,4.04,4.07,4.06,8.12,8.13,1.45,7.34,5.83,5.67,4.04,7.83
August,,,,,1.94,3.43,1.68,4.27,2.45,2.71,6.09,5.08,7.16,3.67,3.4,4.9,0.56,5.55,3.7,5.45,6.07,3.48,5.61,7.76,0.74,12.38,6.29,4.8,0.5,6.2
September,,,,,6.36,7.3,2.06,2.14,1.52,4.33,0.83,3.1,5.06,5.74,3.33,6.34,2.69,2.97,1.37,7.57,2.97,4.72,2.92,5.52,2.73,3.72,8.57,4.98,0.23,3.7
October,,,,,7.96,5.21,2.01,9.04,2.8,3.73,6.13,7.35,3.21,4.07,6.43,0.65,0.96,3.31,3.72,2.53,1.14,4.92,2.21,8.33,2.73,3.49,5.56,4.06,3.8,4.89
November,,,,,5.28,5.51,1.99,5.04,7.38,7.75,3.16,1.06,4.06,6.81,0.66,7.59,6.2,2.84,6.87,6.88,8.11,3.61,4.28,5.98,2.06,2.16,2.89,1.69,5.1,5.91
December,,,,,3.59,4.18,3.82,4.69,4.8,5.33,3.2,3.94,2.32,3.7,2.8,4.43,4.96,3.32,7.17,3.7,6.79,4.25,1.99,6.66,5.54,4.87,5.69,3.76,6.04,4.42
Total,,,,,46.99,46.01,38.03,49.39,49.47,44.55,44,40.87,43.85,51.6,42.49,53.03,,43.49,41.03,50.12,49.19,44.2,43.35,62.73,32.43,51.62,50.77,49.38,33.9,50.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s records and is on the edge of the reservoir. Altitudes match. NGR might be 100m S or SW as stated NGR is largely over the reservoir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
