PADSTOW-THE-NOOK,,,,,,,,
Grid ref,SW914755,Long,-4.94434,Lat,50.5422,Elevation,110,ft
Station no,1888/3,,,,,,,
,,,,,,,,
,1955,1956,1957,1958,1959,1960,,
January,,4.74,3.19,4.11,4.57,3.19,,
February,,0.9,4.61,4.7,0.27,3.51,,
March,,1.44,2.91,1.61,3.63,1.84,,
April,,0.59,0.33,1.06,2.63,2.8,,
May,,0.84,1.88,2.53,1.88,1.66,,
June,,2.01,1.82,3.46,0.74,1.08,,
July,,3.12,2.17,2.23,1.48,4.69,,
August,,2.34,2.44,7.35,4.45,3.64,,
September,,3.99,3.53,5.19,0.5,5.69,,
October,,1.87,3.74,3.83,6.26,7.13,,
November,1.93,1.27,2.47,3.21,7.01,6.24,,
December,5.54,5.2,2.93,4.7,8.19,4.82,,
Total,,28.31,32.02,43.98,41.61,46.29,,
,,,,,,,,
1955 Nov 2 Gauge moved 250 yds W to The Nook,,,,,,,,
The Nook on SE corner of Tregirls Lane and Fentonluna Lane,,,,,,,,
,,,,,,,,
SRC_ID 8775,,,,,,,,
1937-1969,,,,,,,,
