PADSTOW-THE-NOOK-(CROSS-ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW917755,Long,-4.94117,Lat,50.54217,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1888/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,7.36,5.36,6.53,1.76,3.3,4.91,5.9,3.51,3.32,3.89,4.6,7.27,1.25,1.92,5.41,4.38,0.92,2.5,4.81,,,,,
February,,,,,,,6.44,1.82,2.19,4.61,4.7,0.29,1.96,1.07,3,3.56,1.55,1.43,1.44,7.2,3.71,1.14,1.65,4.46,3.29,,,,,
March,,,,,,,4.88,0.83,1.33,2.7,4.35,2.32,0.76,0.27,1.13,2.24,6.87,1.94,1.31,2.13,4.32,3.38,0.94,3.26,1.02,,,,,
April,,,,,,,2.34,0.08,2.16,2.23,1.08,2.03,1.25,1.94,0.76,1.94,2.38,2.76,2.08,2.06,2.96,2.91,3.4,0.59,1.22,,,,,
May,,,,,,,2.04,1.85,1,1.76,2.61,5.62,4.2,0.67,3.22,4.03,3.65,2.46,2.81,2.9,3.02,2.49,2.24,3.12,2.84,,,,,
June,,,,,,,1.5,1.89,1.62,1.04,2.16,0.33,1.34,2.8,3.36,3.12,3.23,2.01,0.39,1.2,0.62,1.21,2.07,2.7,2.43,,,,,
July,,,,,,,1.63,2.94,6.58,4.26,1.51,2.11,4.04,2.61,5.49,2.58,2.19,2.04,3.2,3.24,0.86,0.99,4.83,3.89,0.03,,,,,
August,,,,,,,1.18,6.39,2.7,0.1,4.42,2.34,3.08,2.06,1.23,5.12,0.65,2.22,1.61,6.84,4.5,3.63,2.12,1.84,0.08,,,,,
September,,,,,,,3.1,1.36,0.63,1.56,0.58,2.89,6.05,3.25,1.69,4.94,1.06,2.17,2.39,6.48,2.89,4.41,3.18,3.3,1.37,,,,,
October,,,,,,,3.01,4.47,2.69,3.07,2.11,2.62,2.87,4.32,3.67,3.12,2.61,6.25,7.61,2.23,1.75,4.12,2.7,3.05,2.88,,,,,
November,,,,,,,2.33,6.35,8.25,7.95,2.68,1.09,3.14,7.33,1.3,5.18,2.92,2.47,4.41,7.11,4.85,4.31,2.14,6.73,,,,,,
December,,,,,,,4.11,4.55,3.05,5.17,3.25,5.7,2.89,3.32,6.19,5.16,4.38,6.67,2.78,4.4,4.74,3.6,1.16,3.31,,,,,,
Total,,,,,,,39.92,37.89,38.73,36.21,32.75,32.25,37.48,33.15,34.36,44.88,36.09,39.69,31.28,47.71,39.63,36.57,27.35,38.75,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-39 Received late Too high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Nov 2 Gauge moved 250 yds W to The Nook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
