OLD-CLEEVE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST038417,Long,-3.37657,Lat,51.16688,Elevation,150,ft,,,,,,,,,,,,
Station no,2095/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.51,5.93,3.24,5.87,2.77,4.69,3.67,7.04,1.84,,,,,,
February,,,,,,2.83,4.74,1.39,1.61,2.61,3.86,0.36,2.54,0.55,,,,,,
March,,,,,,2.7,5.09,0.03,1.4,2.27,4.13,1.98,1.39,0.21,,,,,,
April,,,,,,1.86,2.66,0.16,3.45,2.93,1.8,1.83,0.79,1.45,,,,,,
May,,,,,,0.91,2.11,2.08,0.82,1.51,1.65,4.7,3.09,0.57,,,,,,
June,,,,,,1.79,0.48,1.77,2.47,0.96,2.01,0.61,1.45,2.3,,,,,,
July,,,,,,4.9,1.75,2.31,3.43,3.39,1.6,1.48,1.83,0.87,,,,,,
August,,,,,,0.57,0.61,7.09,2.83,0.14,3.24,3.71,2.3,3.7,,,,,,
September,,,,,3.91,3.24,4.63,0.7,0.94,1.24,0.57,1.97,4.44,2.34,,,,,,
October,,,,,3.62,1.75,4.04,3.95,2.61,5,2.27,3.01,2.94,4.18,,,,,,
November,,,,,4.84,3.28,1.71,4.75,6.13,7.53,2.89,1.53,2.67,6.01,,,,,,
December,,,,,5.73,4.03,3.03,5.39,2.04,2.78,2.57,3.91,2.1,3.81,,,,,,
Total,,,,,,32.37,36.78,32.86,33.6,33.13,31.28,28.76,32.58,27.83,,,,,,
,,,,,,,,,,,,,,,,,,,,
Carfax Old Cleeve Washford,,,,,,,,,,,,,,,,,,,,
House not found but in this area and NGR matches elevation,,,,,,,,,,,,,,,,,,,,
1945 May Observer moved to Minehead Dunkery Lodge Stn No 2098/4,,,,,,,,,,,,,,,,,,,,
