BRANDON-SANTON-DOWNHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,TL815879,Long,0.66996543,Lat,52.458883,Elevation,24,ft,,,,,,,,,,,,
Station no,1397/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.9,2.4,1.46,2.19,,,,,,,,,,,,,3.09
February,,,,1.25,1.82,1.62,1.11,,,,,,,,,,,,,1.38
March,,,,0.31,1.65,1.21,4.48,,,,,,,,,,,,,1.3
April,,,,1.53,1.18,1.01,1.46,,,,,,,,,,,,,0.74
May,,,1.55,1.35,2.8,1.23,0.63,,,,,,,,,,,,,0.45
June,,,3.08,1.64,1.69,2.81,2.82,,,,,,,,,,,,,2.6
July,,,1.32,3.46,1.02,6.94,1.23,,,,,,,,,,,,,4.18
August,,,1.8,1.4,3.06,3.08,0.1,,,,,,,,,,,,,2.25
September,,,1.8,3.18,2.97,2.93,0.98,,,,,,,,,,,,,3.58
October,,,1.74,3.14,2.67,1.35,0.3,,,,,,,,,,,,,3.93
November,,,1.72,3.15,0.86,3.64,1.47,,,,,,,,,,,,,3.9
December,,,1.12,1.01,2.6,1.88,2.7,,,,,,,,,,,,,2.93
Total,,,,23.32,24.72,29.16,19.47,,,,,,,,,,,,,30.33
