"SANTON DOWNHAM",,,,,,,,,,,,
Grid ref,TL813901,Long,0.668220,Lat,52.478706,,,,,,,
Station no,1397/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,1.89,2.48,3.09,,
February,,,,,,,,2.50,0.17,1.38,,
March,,,,,,,,0.49,1.85,1.16,,
April,,,,,,,,1.10,2.05,0.74,,
May,,,,,,,,2.47,0.88,0.45,,
June,,,,,,,,3.71,1.24,2.60,,
July,,,,,,,,3.03,3.09,4.18,,
August,,,,,,,,2.70,2.78,2.25,,
September,,,,,,,,2.61,0.02,3.58,,
October,,,,,,,,1.87,1.97,3.93,,
November,,,,,,,,1.25,1.31,3.90,,
December,,,,,,,,2.87,3.37,2.93,,
Total,,,,,,,,26.49,21.21,30.19,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.49,21.21,30.19,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
