AUCHINCRUIVE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS389236,Long,-4.550699,Lat,55.479597,Elevation,89,ft,,,,,,,,,,,,
Station no,5254/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,3.97,4.63,3.36,3.99,1.96,3.63,4.31,5.12,2.63,2.5,0.53,4.57,3.9,3.99,,,,,,
February,3.48,0.04,3.04,0.49,4.49,1.64,4.39,1.28,4.12,1.36,1.84,1.26,4.25,1.44,,,,,,
March,0.72,2.5,2.4,2.78,1.9,1.46,0.83,2.3,3,4.5,2.6,1.63,1.96,0.48,,,,,,
April,1.17,2.94,1.95,2.14,2.34,0.56,1.67,0.38,2.03,1.98,1.25,1.13,3.27,3.31,,,,,,
May,2.02,2.61,2.09,2.97,0.65,2.16,1.22,2.42,0.69,1.53,3.5,2.28,3.28,2.39,,,,,,
June,5.83,1.57,2.02,2.14,3.26,2.93,2.39,4.31,1.63,1.02,1.25,1.71,3.27,3.26,,,,,,
July,4.38,3.87,3.66,2.89,1.09,5.22,5.19,4.31,4,3.7,3.75,3.04,1.95,2.74,,,,,,
August,1.33,1.61,3.07,3.43,2.22,3.83,2.3,2.97,2.68,2.04,5.28,4.39,3.9,2.79,,,,,,
September,1,5.14,1.01,4.03,4.35,3.76,1.99,3.27,1.68,5.62,1.57,4.52,2.07,,,,,,,
October,3.48,5.27,2.65,6.58,6.96,4.98,3.29,7.86,1,3.79,3.73,4.77,5.63,,,,,,,
November,6.61,3.46,1.52,0.82,4.07,3.21,0.33,5.37,7.23,4.16,2.19,0.89,2.44,,,,,,,
December,3.34,6.92,1.16,4.42,2.98,4.71,2.19,2.16,1.96,4.77,2.03,4.65,2.42,,,,,,,
Total,37.33,40.56,27.93,36.68,36.27,38.09,30.1,41.75,32.65,36.97,29.52,34.84,38.34,,,,,,,
,,,,,,,,,,,,,,,,,,,,
G Move Sept 1944,,,,,,,,,,,,,,,,,,,,
Station no,5254/6,,,,,,,,,,,,,,,,,,,
Midas,1005,,,,,,,,,,,,,,,,,,,
Hyd Stn,645404,,,,,,,,,,,,,,,,,,,
