NEWTON STEWART CORSBIE,,,,,,,,,,,,,,,,,,,,
Grid ref,NX407655,Long,-4.4894504,Lat,54.958609,Elevation,100,ft,,,,,,,,,,,,
Station no,RR4658,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.97,2.11,2.83,3.4,2.1,4.97,,,,,
February,,,,,,,,,,5.35,0.99,0.58,2.04,5.06,6.99,,,,,
March,,,,,,,,,,2.92,2.8,2.94,0.91,1.97,2.4,,,,,
April,,,,,,,,,,2.29,1.38,2.22,1.18,2.37,2.21,,,,,
May,,,,,,,,,,3.22,2.15,2.93,5.8,1.45,3.12,,,,,
June,,,,,,,,,,1.66,5.26,1.36,4,1.33,4.32,,,,,
July,,,,,,,,,,3.77,3.84,1.04,3.27,4.87,1.93,,,,,
August,,,,,,,,,,3.3,3.18,6.89,6.33,5.59,4.42,,,,,
September,,,,,,,,,,2.81,3.94,4.73,4.42,2.07,0.91,,,,,
October,,,,,,,,,,2.99,2.77,8.21,4.68,3.89,4.69,,,,,
November,,,,,,,,,,4.74,10.17,5.65,5.1,2.48,4.94,,,,,
December,,,,,,,,,,4.34,2.66,8.58,2.86,5.94,5.69,,,,,
Total,,,,,,,,,,39.36,41.25,47.96,43.99,39.12,46.59,,,,,
