"BIDEFORD (JENNETT'S RESERVOIR)",,,,,,,,,,,,
Grid ref,SS445246,Long,-4.217470,Lat,50.999722,,,,,,,
Station no,1861,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.57,3.89,0.90,2.54,4.47,5.21,3.58,4.01,5.47,4.00,,
February,4.73,1.09,1.93,4.29,3.56,0.45,5.81,4.34,0.28,3.43,,
March,4.07,2.91,1.31,3.01,1.15,0.79,3.51,0.62,3.66,1.58,,
April,2.75,3.38,2.63,0.46,1.65,1.87,0.14,1.23,2.34,3.14,,
May,2.72,2.91,3.86,2.46,3.63,0.87,2.46,3.12,1.45,1.41,,
June,0.94,1.41,1.18,2.60,3.39,2.12,1.75,2.90,1.04,1.32,,
July,1.43,1.04,5.37,3.64,1.34,4.12,3.38,2.39,2.27,4.90,,
August,4.69,7.03,3.36,3.16,0.21,4.31,3.00,4.57,1.47,4.92,,
September,2.48,4.09,4.09,4.49,1.85,5.83,5.19,6.23,0.25,4.96,,
October,1.82,5.58,2.58,4.72,3.44,2.25,4.28,4.19,5.04,6.96,,
November,4.97,4.73,3.31,7.92,2.65,1.65,2.20,3.33,9.40,7.01,,
December,4.40,4.12,1.27,3.53,6.77,4.68,2.08,4.04,8.20,6.80,,
Total,40.57,42.18,31.79,42.82,34.01,34.15,37.38,40.97,40.87,50.43,,
Calc annual,40.57,42.18,31.79,42.82,34.11,34.15,37.38,40.97,40.87,50.43,,
Difference,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,0.00,,
