BIDEFORD-JENNETTS-RES-(LODGE),,,,,,,,,,,
Grid ref,SS444248,Long,-4.218,Lat,51.002,Elevation,178,ft,,,
Station no,1861,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,
February,,,,,,,,,,,
March,,,,,,,,,,,
April,,,,,,,,,,,
May,,,,,,,,,,,
June,,,,,,,,,,,
July,,,2.92,,,,,,,,
August,,,3.59,,,,,,,,
September,,,2.38,,,,,,,,
October,,,1.77,,,,,,,,
November,,,2.1,,,,,,,,
December,,,7.4,,,,,,,,
Total,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Unknown exactly where the gauge was, but this is the correct elevation, between lower and higher gauges",,,,,,,,,,,
