BIDEFORD-JENNETTS-RES-(HIGHER-LEVEL),,,,,,,,,,,
Grid ref,SS445251,Long,-4.2175,Lat,51.005,Elevation,299,ft,,,
Station no,1861,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,
February,,,,,,,,,,,
March,,,,,,,,,,,
April,,,,,,,,,,,
May,,,,,,,,,,,
June,,,,,,,,,,,
July,,,2.84,,,,,,,,
August,,,3.8,,,,,,,,
September,,,2.51,,,,,,,,
October,,,1.73,,,,,,,,
November,,,2.13,,,,,,,,
December,,,6.6,,,,,,,,
Total,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Unknown exactly where the gauge was, but this is the correct elevation, near to reservoir",,,,,,,,,,,
