BUCKIE (ROCHOMIE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ442632,Long,-2.936697,Lat,57.65523,Elevation,287,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.28,1.66,3.03,2.33,3.3,1.5,2.83,2.53,2.71,1.26,1.04,1.85,1.51,2.57,1.16,1.41,2.05,1.53,0.83,0.74,1.95,4.5,2.55,1.8,4.01,0.82,2.77,4,1.18,2.45,3.95,0.46,1.12,2.09,2.31,1.74,2.94,1.11,1.64,1.28,,1.96,1.98,3.34,4.01,5.34
February,,,,,,3,1.56,0.71,1.51,1.8,1.48,0.54,2.01,4.18,1.25,3.45,1.55,1.55,0.96,0.64,1.2,2.16,1.2,3.2,1.75,1.91,1.19,2.63,0.93,1.5,0.82,2.95,2,1.84,0.65,0.98,1.22,1.1,1.03,1.11,2.01,1.97,1.4,1.57,1.97,,1.5,2.27,2.96,0.36,2.02
March,,,,,,2.78,1.83,1.35,1.38,1.79,1.52,1.87,1.91,0.81,1.46,1.8,1.33,1.48,2.04,0.28,1.21,1.29,2.18,1.62,2.12,1.93,1.1,3.11,0.84,1.93,2.55,1.87,0.64,0.56,0.85,0.32,1.57,4.5,0.49,3.26,2.56,2.4,2.36,0.35,0.83,,0.69,2.42,1.69,1.29,1.16
April,,,,,,1.65,3.41,2.26,1.62,3.47,3.37,0.76,3.66,1.91,0.76,1.29,1.84,1.91,1.27,1.89,1.27,1.56,2.17,1.02,5.11,3.35,0.86,0.8,0.52,1.08,2.8,3.55,0.5,1.74,0.87,0.73,0.8,0.51,1.53,1.28,2.03,2.04,1.3,1.93,0.61,,1.86,0.87,1.88,2.3,1.54
May,,,,,,1.6,4.08,1.67,1.42,0.5,1.69,2.27,1.56,4.14,4.1,2.24,2.08,2.27,1.93,0.93,2.57,1.45,2.33,0.46,2.5,1.35,0.86,1.82,2.04,0.89,2.75,1.86,1.76,2.29,2.52,2.74,1.36,0.95,1.37,2.22,1.22,0.58,1.04,1.46,4.17,,0.53,1.52,2.99,0.66,0.43
June,,,,,,1.17,5.33,3.38,1.54,2.98,1.01,1.43,1.78,1.36,2.11,0.95,2.79,4.17,3.13,2.52,1.69,2.54,0.16,1.74,0.75,1.26,1.56,1.63,2.8,1.61,1.79,0.25,0.8,1.51,2.66,2.43,1.75,3.51,4.41,1.06,1.8,1.85,2.6,2.66,2.12,,3.22,2.5,1.92,1.06,3.77
July,,,,,,2.99,2.35,2.85,5.49,0.99,2.65,2.97,3.63,1.85,3.11,4.15,1.6,1.41,2.45,1.8,4.67,4.18,3.64,1.99,0.88,2.2,4.22,2.11,4.31,4.14,6.25,3.02,2.86,1.41,1.94,2.05,4.2,2.01,1.77,1.24,2.25,3.19,1.32,3.69,2.85,,4.33,5.7,6.92,2.78,3.16
August,,,,,,2.07,2.84,2.58,4.05,2.85,2.66,3.78,2.57,5.23,5.31,1.86,0.82,2.61,2.2,2.53,4.41,3.41,1.39,1.33,2.53,3.52,2.07,1.71,1.58,1.93,1.26,4.99,1.73,3.84,0.84,3.91,2.65,0.14,5.83,4.46,2.56,3.9,3.9,1.53,2.65,,2.91,4.9,5.31,1.2,6.6
September,,,,,,3.12,0.88,2.71,5.34,3.08,2.88,1.13,2.37,2.87,4.57,2.82,1.93,6.75,2.73,1.7,2.47,2.38,5.44,1.69,1.94,4.23,2.19,1.08,3.84,1.69,2.43,1.01,3.04,1.95,4.31,2.2,2.04,3.51,1.81,2.3,3.53,0.84,3.64,1.52,2.48,,2.58,2.18,2.52,1.01,2.36
October,,,,,,1.71,3.95,4.16,2.08,3.04,1.46,2.55,1.36,2.75,2.51,2.21,3.87,4.25,2.45,3.12,4.05,1.75,5.8,2.32,3.32,3.04,2.74,2.32,2.11,3.38,2.49,3.2,4.95,1.64,3.15,3.49,0.09,1.32,3.13,2.03,1.11,0.92,1.88,0.53,4.29,,2.18,1.7,1.49,2.98,4.58
