HANLEY-ETRURIA,,,,,,,,,,
Grid ref,SJ875470,Long,-2.1877914,Lat,53.020148,Elevation,423,ft.,,
Station no,2357/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.19,3.21,1.06,1.75,2.83,3.86,1.91,2.6,2.62,4.96
February,2.95,1.47,1.93,3.27,1.84,0.83,2.34,4.47,0.41,2.28
March,4.78,1.8,1.34,2.58,2.53,1.69,3.14,1.31,2.16,1.19
April,2.59,3.11,2.8,0.7,1.77,1.17,0.45,1.23,3.68,1.47
May,3.19,2.67,2.4,2.5,3.03,1.18,1.36,3.13,0.68,1.63
June,1.63,2.59,4.21,4.41,2.89,2.81,2.39,5.54,1.59,3.55
July,2.31,1.47,3.19,3.82,0.6,4.26,5.61,3.64,1.73,4.13
August,5.57,2.29,3.42,5.39,1.16,6.45,6.98,3.89,0.63,4.41
September,2.22,2.14,2.6,3.84,2.82,2.13,5.63,5.15,0.1,4.93
October,0.88,3.56,1.99,5.83,1.68,2.21,2.82,3.89,1.98,4.23
November,8.55,1.85,2.44,5.58,2.33,1.38,1.63,1.97,3.47,4.45
December,3.95,3.44,1.51,4,2.91,3.5,2.36,3.2,4.95,3.14
Total,41.81,29.6,28.89,43.67,26.39,31.47,36.62,40.02,24,40.37
,,,,,,,,,,
NGR is from the 1950s record and is near Etruria.,,,,,,,,,,
Contradictory relationships to church and station.,,,,,,,,,,
Stated altitude appears low by 40 ft or so.,,,,,,,,,,
NGR could be up to 500m NE nearer the observer's factory,,,,,,,,,,
"MIDAS src_id 2909 continues to 1971. NGR is 600m N @ SJ876476, did the gauge move or was it always there?",,,,,,,,,,
