SKERRYVORE = HYNISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NL985392,Long,-6.8947577,Lat,56.448238,Elevation,33,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,11.74,10.42,14.03,10.74,5.4,9.79,10.91,10.35,16.35,16.59,16.03,7.95,3.15,3.96,13.05,8,11.3,12.76,7.36,14.89,14.2,7.88,9.67,15.47,6.5,7.49,9.52,7.61,8.04,4.57,12.83,7.34,8.91,6.68,5.92,2.87,1.79,2.83,0.2,5.26,6.11,8.97,4.18,4.77,6.74,5.35,4.04,8.3,5.17,3.96,,,,,,,
February,,,,3.78,11.25,5.41,8.11,3.85,14.41,9.09,10.55,6.2,7.25,3.12,7.68,2.36,6.92,13.46,3.38,7.93,5.39,8.46,3.45,7.9,6.42,10.66,8.03,5.3,13.29,10.09,4.01,6.53,8.63,0.71,4.87,3.47,6.94,6.7,1.91,1.6,4.92,4.63,5.18,8.13,4.74,5.83,2.46,4.16,1.93,2.13,1.05,4.25,1.92,,,,,,,
March,,,,3.13,8.93,7.57,8.14,1.3,7.31,7.29,2.62,6.7,2.36,3.89,4.57,6.23,1.43,5.57,6,9.17,13.14,14.82,4.57,4.73,9.84,6.17,5.61,2.32,12.61,4.46,2.85,7.87,6.02,3.96,8.47,1.49,7.39,3.37,2.79,2.02,1.68,3.74,5.82,1.77,7.22,2.33,2.78,2.54,2.86,4.28,,2.16,1.15,,,,,,,
April,,,,6.8,5.08,4.56,2.05,4.78,3.15,3.48,4.07,3.21,0.29,4.73,1.69,4.91,2.83,5.64,3.32,5.86,4.96,1.54,4.6,7.98,5.15,3.32,3.01,7.99,3.69,3.69,4.45,3.74,4.07,0.65,3.53,1.54,2.98,2.72,3.01,1.27,3.46,0.61,2.94,2.49,1.27,3.46,2.29,2.85,2.05,3.16,2,0.95,1.63,,,,,,,
May,,,,3.01,1.68,2.3,3.44,3.15,3.74,2.58,2.28,3.26,3.76,0.94,3.29,2.53,4.77,3.55,4.68,0.33,5.83,3.78,5.34,3.57,2.48,5.9,1.86,2.65,6.54,0.25,6.27,1.65,5.08,3.01,3.3,3.07,0.75,1.15,2.21,1.23,0.95,1.88,4.15,3.24,4.17,2.85,3.07,1.6,4.81,3.36,1.6,8.49,5.76,,,,,,,
June,,,2.25,2.05,6.12,3.89,2.35,2.51,2.57,2.86,3.89,4.62,2.16,4.57,5.83,2.63,7.93,3.06,2.63,2.23,5.11,5.1,4.73,5.16,4.81,2.39,2.37,2.82,3.94,1.83,2.78,2.23,6.39,3.41,1.66,3.58,3.34,4.17,2.87,2.76,1.62,4.7,3.32,2.9,0.84,2.82,1.09,0.9,3.41,0.4,6.23,15.25,,,,,,,,
July,,,3.67,6.05,4.6,3.93,5.12,1.82,7.17,6.13,3.62,6.26,4.62,5.9,5.05,2.28,9.23,4.81,3.76,5.17,3.95,7.91,5.52,0.49,2.48,4.52,2.82,3.47,1.08,3.1,4.16,4.58,3.09,8.1,3.69,1.89,3.71,5.27,1.06,5.76,3.41,7.46,4.15,2.9,4,3.23,3.23,5.82,4.17,2.36,6.21,1.17,,,,,,,,
August,,,5.59,7.89,3.28,1.45,5.86,9.55,3.62,5.97,6.56,5.04,3.84,2.26,4.59,6.24,4.34,2.52,3.2,6.58,11.74,9.6,4.57,7.45,3.92,6.8,3.6,6.41,5.7,1.62,0.76,1.23,3.69,6.03,4.28,4.48,4.74,3.51,3.1,4.99,0.5,3.16,4.33,6.32,5.81,1.98,3.57,1.35,5.35,5,6.27,4.94,,,,,,,,
September,,,5.45,2.68,2.02,7.4,3.31,10.18,2.18,3.92,8.07,3.6,4.42,8.55,4.85,4.3,5.02,3.07,4.46,13.12,7.09,12.55,5.88,9.15,13.99,3.54,7.08,2.46,2.26,8.58,8.07,3.74,3.2,4.26,12.25,3.39,1.32,2.6,4.07,5.88,2.61,3.26,5.46,3.96,4.88,7.57,4.25,3.17,3.65,2.53,5.8,7.44,,,,,,,,
October,,,5.9,14.64,5.64,11.85,11.8,8.43,4.71,6.63,8.73,10.11,3.2,8.43,11.46,12.43,4.19,4.83,4.36,6.84,13.23,5.23,13.12,6.06,4.49,5.43,4.88,11.76,8.56,1.8,8.17,5.9,8.53,7,6.76,7.22,4.8,6.79,6.2,1.91,0.61,4.99,7.93,4.89,6.53,4.8,5.23,2.45,4.1,3.8,8.85,6.55,,,,,,,,
November,,,4.6,10.75,3.89,7.01,10.78,14.05,8.48,11.58,12.54,3.85,8,10.01,5.28,3.96,6.21,8.31,1.57,10.59,3.76,8.71,7.73,7.45,6.16,9.1,9.28,3.32,7.81,11.94,4.63,8.12,9.32,5.5,9.78,4.72,2.39,10.1,2.37,0.99,4.43,8.83,8.52,4.93,6.91,2.57,6.29,4.31,5.7,5.45,12.8,4.82,,,,,,,,
December,,,7.55,7.68,2.16,13.43,4.45,14.06,7.85,4.87,8.94,8.4,19.42,3.42,13.79,8.14,11.38,11.6,14.26,9.8,1.27,4.51,13.58,13.55,10.8,9.2,14.71,7.56,10.45,9.75,5.77,3.75,4.49,7.81,2.93,3.63,4.02,4.87,3.8,2.2,6.3,6.37,6.62,6.27,5.37,4.78,6.7,5.58,6.6,6.38,6.64,6.78,,,,,,,,
Total,,,,80.2,65.07,82.83,76.15,79.08,74.98,75.31,82.22,77.6,75.91,71.85,76.03,59.16,68.21,79.47,59.62,88.92,88.23,89.57,87.98,87.69,78.42,76.7,78.72,62.56,83.42,66.63,59.53,57.38,67.08,63.27,68.86,47.39,49.06,57.17,36.26,32.4,33.32,49.83,63.68,53.91,60.71,46.4,45.73,41.47,49.98,42.89,,67.97,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: another possible grid reference: NL 839 262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
