BAMPTON,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS955221,Long,-3.4902549,Lat,50.988784,Elevation,400,ft,,,,,,,,,,,,,,,,
Station no,RR3074,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,,,
January,,,,,,,,,5.74,4.8,3.43,4.1,,,,,,,,,,,,
February,,,,,,,,,2.34,4,3.21,2.72,,,,,,,,,,,,
March,,,,,,,,,3.89,2.98,2.43,2.17,,,,,,,,,,,,
April,,,,,,,,,3.32,1.62,0.27,4.86,,,,,,,,,,,,
May,,,,,,,,,1.32,5.37,2.31,0.28,,,,,,,,,,,,
June,,,,,,,,,0.7,0.48,0.44,2.85,,,,,,,,,,,,
July,,,,,,,,,0.44,0.74,0.61,6,,,,,,,,,,,,
August,,,,,,,,,5.21,1.52,1.98,1.24,,,,,,,,,,,,
September,,,,,,,,,4.62,6.47,2.35,6.8,,,,,,,,,,,,
October,,,,,,,,,4.3,3.58,9.65,4.72,,,,,,,,,,,,
November,,,,,,,,,2.53,3.89,3.4,2.37,,,,,,,,,,,,
December,,,,,,,,,8.88,5.42,2.37,3.1,,,,,,,,,,,,
Total,,,,,,,,,43.29,40.87,32.45,41.21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Observer John Edwards was  surgeon and landowner living at Rose Cottage/House, Bampton",,,,,,,,,,,,,,,,,,,,,,,,
Rose Cottage marked on OS 25 miles to inch SW England 1873-1888,,,,,,,,,,,,,,,,,,,,,,,,
