HANWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ440094,Long,-2.829743,Lat,52.67939,Elevation,240,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,1.44,1.79,4.25,2.86,1.32,2.66,1.66,2.96,1.69,1.07,0.4,0.26,3.2,3.1,3.49,1.59,2.95,,,
February,,,,,,,,,,,2.32,1.13,3.36,0.75,1.83,1.26,2.15,1.7,0.93,1.85,1.8,2.94,2.2,2.52,2.43,2.62,1.1,,,
March,,,,,,,,,,,2.05,0.73,1.83,2.7,0.97,0.87,2.26,1.58,0.64,0.88,0.68,1.76,1.23,0.93,1.95,0.78,2.19,,,
April,,,,,,,,,,,0.69,2.24,2.69,0.57,0.64,1.04,2.54,1.96,1.96,3,1.22,0.77,2,0.82,0.96,2.66,0.97,,,
May,,,,,,,,,,,0.89,0.77,1.51,1.31,1.6,1.97,0.66,1.77,4.79,1.53,2.12,1.17,1.79,1.41,0.79,1.6,7.41,,,
June,,,,,,,,,,,0.69,2.64,4.23,2.46,0.26,2.46,1.16,1.19,2.31,4.43,2.66,1.65,3.02,2.42,2.69,4.24,1.67,,,
July,,,,,,,,,,,,3.86,5.63,2.2,1.23,4.3,2.6,2.96,1.49,2.6,7.39,1.23,3.74,1.92,2.4,0.43,2.2,,,
August,,,,,,,,,,,1.77,1.58,2.11,3.07,1.93,3.51,2.81,6.16,6.14,5.52,0.95,3.45,1.82,1.13,1.98,3.57,1.15,,,
September,,,,,,,,,,5.24,1.18,4.64,2.7,1.56,2.82,4.01,4.46,2.04,2.55,2.82,1.59,1.77,2.1,5.16,1.54,2.58,2.3,,,
October,,,,,,,,,,1.8,4.17,3.69,6.01,2.1,1.55,4.21,2.55,2.13,4.65,0.95,5.64,2.46,4.2,2.47,1.33,4.92,3.54,,,
November,,,,,,,,,,1.72,2.39,0.64,4,1.71,2.21,3.35,3.54,2.97,2.97,1.08,2.42,2.34,3.24,3.77,1.31,3.09,,,,
December,,,,,,,,,,3.02,1.85,1.07,3.83,0.6,2.16,0.98,4.02,1.65,1.41,0.99,3.46,2.42,2.44,0.88,1.7,0.54,,,,
Total,,,,,,,,,,,,24.78,42.15,21.89,18.52,30.62,30.41,29.07,31.53,26.72,30.33,22.22,30.98,26.53,22.57,28.62,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Barytes Works in Hanwood. Marshall & Co were the observers and they operated a bleaching facility at these works (Marshall & Co also had gauges at Dittherington Mill in Shrewsbury). The stated altitude is 342 ft. and is about 100ft high, at Ditherington the gauges were on the roof of the mill, which if applicable here would  not make the difference. Altitude from OS maps used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
