KIDDERMINSTER WINTERFOLD,,,,,,,,,,
Grid ref,SO875738,Long,-2.1849852,Lat,52.36211,Elevation,307,ft,,
Station no,RR7872,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,1.64,3.7,2.58,1.98,2.21,1.15,3,1.43,
February,,0.83,2.93,0.33,3.02,0.92,2.53,1.34,1.07,
March,,1.04,2.04,2.63,0.62,0.7,1.97,2.04,0.79,
April,,2.73,2.57,1.04,1.7,0.6,2.21,2.24,2.01,
May,,1.4,1.9,2.19,2.03,2.16,0.66,1.7,5.26,
June,,3.41,4.38,3.51,1.4,3.48,1.6,0.65,2,
July,,3.79,5.37,2.53,1.56,5.49,1.53,3.45,0.72,
August,,0.63,1.65,2.52,2.06,2.5,2.43,2.51,5.3,
September,,3.05,2.36,1.82,2.81,3.49,4.24,2.16,2.32,
October,,2.62,4.04,1.47,2.83,5.91,1.63,1.6,3.72,
November,,0.7,3.96,1.47,2.79,3.34,2.64,2.44,2.69,
December,,2.18,2.89,0.52,1.54,0.77,5.41,1.43,1.19,
Total,,24.02,37.79,22.61,24.34,31.57,28,24.56,28.5,
