CATTON RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE706539,Long,-0.925,Lat,53.976,Elevation,50,ft,,,,,,,,,,,,,,,,,
Station no,RR2163,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904
January,0.41,1.20,1.41,2.47,2.42,2.10,2.50,1.83,0.85,1.24,1.86,1.11,1.25,1.08,2.04,3.40,0.64,,0.67,2.59,3.29,1.51,1.16,1.88,1.85
February,1.93,2.69,1.23,2.69,2.63,1.77,1.23,0.64,1.51,1.00,1.01,0.06,1.77,2.39,3.00,0.02,0.62,,1.21,1.31,2.98,1.68,1.30,1.21,2.71
March,2.45,2.16,2.17,1.83,1.92,2.95,1.96,1.31,2.63,1.68,1.73,1.49,1.14,0.56,1.31,2.82,2.56,,1.65,1.31,1.50,2.60,1.19,2.91,1.63
April,2.46,1.62,3.90,1.84,1.72,0.96,1.93,0.82,2.01,1.76,0.91,1.76,1.23,0.46,2.34,1.43,0.78,,2.67,1.97,0.54,1.61,1.37,1.29,1.31
May,2.18,1.23,1.71,1.27,1.08,2.45,3.65,1.82,0.75,3.63,2.19,2.08,3.03,2.55,2.32,0.62,0.81,,1.93,3.61,1.42,1.34,1.81,4.10,1.94
June,1.45,2.77,3.92,2.84,0.52,2.42,0.52,0.12,2.23,0.54,1.31,0.41,5.20,1.11,5.00,2.96,2.26,,1.62,1.11,1.98,1.36,2.93,1.83,1.24
July,5.15,1.81,4.56,2.69,3.02,1.11,4.93,1.84,6.16,1.95,2.96,3.84,1.97,2.14,3.35,4.85,2.02,,0.39,2.76,1.21,1.63,2.62,3.47,2.02
August,1.83,4.57,2.18,1.31,0.58,2.12,2.14,1.24,2.57,4.20,3.40,3.25,2.96,2.45,2.41,2.50,1.62,,3.74,0.35,3.37,1.30,1.62,2.43,3.10
September,4.19,3.17,1.38,3.94,1.58,2.20,1.28,2.83,1.36,0.97,1.93,1.60,1.25,1.73,1.42,0.97,4.07,,0.82,2.68,1.39,1.26,0.38,3.22,0.73
October,3.41,2.78,4.35,2.61,0.72,3.95,3.49,2.16,1.29,3.68,1.25,3.36,4.82,2.08,3.67,3.63,4.34,,2.94,2.00,3.72,1.58,2.11,6.88,1.27
November,2.24,2.41,2.96,1.52,0.81,1.61,1.78,1.53,2.95,1.02,2.98,-999.00,1.86,2.78,1.04,2.50,1.76,,2.83,0.88,2.79,3.67,1.48,1.57,1.56
December,2.73,2.61,4.59,2.21,2.55,1.17,3.39,1.47,1.52,1.75,1.39,-999.00,0.83,2.84,1.73,2.09,3.32,,2.06,2.87,2.85,3.83,2.07,0.94,
Total,30.43,29.02,34.36,27.22,19.55,24.81,28.80,17.61,25.83,23.42,22.92,25.46,27.31,22.17,29.63,27.79,24.80,,22.53,23.44,27.04,23.37,20.04,31.73,
,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/036,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/041,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/020,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"# Sheet TYRain_1880-1889_11_pt1/041 actually contains data for the 1890s, not the 1880s.",,,,,,,,,,,,,,,,,,,,,,,,,
# November-December 1891 are grouped into a single aggregate reading of 6.50 on the sheet.,,,,,,,,,,,,,,,,,,,,,,,,,
