"CATTON RECTORY (YORK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2163,,,,,,,,,,,
,MISFILED,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,1.86,-999.00,1.25,,2.04,-999.00,-999.00,,,2.59,,
February,1.01,-999.00,1.77,,3.00,-999.00,,,,1.31,,
March,1.73,-999.00,1.14,,1.31,-999.00,-999.00,,,1.31,,
April,0.91,-999.00,1.23,,2.34,-999.00,-999.00,,,1.97,,
May,2.19,-999.00,3.03,,2.32,-999.00,-999.00,,,3.61,,
June,1.31,-999.00,5.20,,5.00,-999.00,-999.00,,,1.11,,
July,2.96,-999.00,1.97,,3.35,-999.00,-999.00,,,2.76,,
August,3.40,-999.00,2.96,,2.41,-999.00,-999.00,,,0.35,,
September,1.93,-999.00,1.25,,1.42,-999.00,-999.00,,,2.68,,
October,1.25,-999.00,4.82,,3.67,-999.00,-999.00,,,2.00,,
November,2.98,,1.86,,1.04,-999.00,-999.00,,,0.88,,
December,1.39,,0.83,,1.73,-999.00,-999.00,,,2.87,,
Total,22.92,-999.00,27.31,,29.63,-999.00,-999.00,,,23.44,,
Calc annual,22.92,0.00,27.31,0.00,29.63,0.00,0.00,0.00,0.00,23.44,,
Difference,0.00,-999.00,0.00,NaN,0.00,-999.00,-999.00,NaN,NaN,0.00,,
