RUGELEY-LONGDON-LODGE-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK065145,Long,-1.9051892,Lat,52.728105,Elevation,413,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.35,3.21,1.74,2.52,1.89,2.23,2.33,4.42,1.4,4.56,1.35,1.78,1.7,2.08,0.9,2.75,3.29,2.49,5.12,3.19,4.55,2.95,3.14,1.7,,,,,,
February,,0.23,2.62,4.56,0.67,3.28,2.17,1.76,2.56,0.52,0.57,2.53,0.28,3.15,0.22,2.39,1.94,3.09,0.41,0.74,1.92,2.73,1.21,0.59,1.51,,,,,,
March,,1.5,1.88,1.75,1.07,1.08,0.81,1.98,1.89,0.16,3.59,0.1,1.85,2.53,1.88,0.45,1.59,2.41,0.39,0.86,1.56,2.85,1.46,0.75,0.3,,,,,,
April,,1.2,2.17,2.41,2.43,1.51,1.79,1.82,1.72,0.64,2.57,3.3,2.48,0.97,1.63,2,1.83,1.83,0.17,1.85,2.26,1.29,0.63,0.72,1.36,,,,,,
May,,1.36,1.16,2.04,4.29,3.23,2.82,1.59,0.3,2.37,1.74,3.68,5.42,1.3,0.79,0.6,0.6,2.42,1.1,1.05,1.64,2.23,2.28,1.91,0.31,,,,,,
June,,0.43,0.76,0.49,2.5,0.08,1.34,4.3,2.15,1.44,1.59,3.95,1.15,1.89,0.95,2.6,4.08,0.62,1.77,0.86,0.72,1.05,0.24,1.1,1.49,,,,,,
July,,0.51,4.64,6.9,3.06,2.69,2.38,2.59,1.06,1.67,7.48,3.17,3.36,2.11,1.04,0.39,5.12,2.66,2.79,3.81,2.84,3.88,1.61,0.94,1.94,,,,,,
August,,3.76,4.77,2.33,2.92,3.55,1.83,4.24,3.34,2.42,2.49,5.56,2.92,0.85,2.12,1.7,0.58,0.54,2.18,2.72,0.33,2.86,1.48,1.75,1.35,,,,,,
September,,1.38,2.73,2.99,3.18,4,1.07,3.94,0.55,0.69,3.48,2.08,2.21,0.82,1.59,2.44,2.22,3.03,3.2,0.79,0.6,0.22,1.1,1.91,1.98,,,,,,
October,,2.23,0.42,3.44,3.66,3.4,2.74,1.67,4.13,3.29,2.33,0.84,4.27,4.72,2.1,2.51,1.67,2.09,1.67,2.58,2.49,2.22,1.76,1.32,1.83,,,,,,
November,,1.54,0.87,2.02,1.77,2.02,4.48,3.46,3.52,5.86,3.15,3.3,1.91,1.18,1.87,4,2.65,1.66,2.54,3.19,5.46,2.24,0.96,1.2,2.29,,,,,,
December,,1.81,3.69,3.48,2.28,2.49,0.5,2.4,2,4.53,2.68,0.99,0.77,0.35,4.65,3.12,1.58,2.67,2.83,1.34,1.36,0.95,1.6,0.6,0.97,,,,,,
Total,,18.3,28.92,34.15,30.35,29.22,24.16,32.08,27.64,24.99,36.23,30.85,28.4,21.57,20.92,23.1,26.61,26.31,21.54,24.91,24.37,27.07,17.28,15.93,17.03,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Longdon Lodge. Altitudes match. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New gauge installed in 1944 50 yards East of Old Gauge and was given a different station no. i.e. suffix added.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940s record has an NGR of SK066133, which is the Grand Lodge to Beau Desert Park but this is in a light pencil and there is a note ""unlocated"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The observer, F J Dixon, lived at Longdon Lodge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
