RUGELEY-LONGDON-LODGE-NEW-GAUGE,,,,,,,,,,
Grid ref,SK065145,Long,-1.9051892,Lat,52.728105,Elevation,413,ft.,,
Station no,2344/1,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.25,2.33,2.11,4.94,1.53,
February,,,,,2.33,3.68,1.86,1.3,0.72,
March,,,,,0.89,0.85,5.65,1.17,1.55,
April,,,,2.19,1.5,1.22,1.94,2.55,2.61,
May,,,,0.58,3.92,2.49,2.76,1.76,1.81,
June,,,,2.22,2.54,2.92,2.48,3.5,0.35,
July,,,,2.65,2.24,1.81,3.52,2.19,2.37,
August,,,,2.17,2.43,6.63,0.8,4.69,1.16,
September,,,,3.12,1.55,4.28,1.91,2.56,1.36,
October,,,,3.11,4.04,0.84,0.48,2.8,4.59,
November,,,,3.97,0.43,5.57,2.42,1.37,2.63,
December,,,,1.7,1.99,2.54,2.52,3.95,2.37,
Total,,,,,26.11,35.16,28.45,32.78,23.05,
,,,,,,,,,,
NGR is Longdon Lodge. Altitudes match. ,,,,,,,,,,
New gauge installed in 1944 50 yards East of Old Gauge and was given a different station no. i.e. suffix added.,,,,,,,,,,
"1940s record has an NGR of SK066133, which is the Grand Lodge to Beau Desert Park but this is in a light pencil and there is a note ""unlocated"".",,,,,,,,,,
"The observer, F J Dixon, lived at Longdon Lodge.",,,,,,,,,,
