"LEEDS, HOLBECK B (Marshall & Sons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE286323,Long,-1.5661,Lat,53.7867,Elevation,95,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,1.4,2.32,2.35,2.65,2.21,1.76,0.86,2.88,2.27,1.42,3.36,0.83,4.04,2.47,1.25,0.08,0.3,2.68,3.59,3.91,1.3,3.89,1.21,0.82,0.73,3.36,2.58,2.67,0.94,2.05,4.08,,,,
February,,,,,,1.72,3.16,1.61,1.29,2.47,1.59,2,2.43,0.82,1.18,1.62,2.77,1.94,0.97,2.7,1.88,3.71,1.62,1.91,1.9,2.19,0.48,0.63,0.85,0.91,1.39,0.06,1.94,1.81,4.81,0.26,,,,
March,,,,,,0.78,1.44,2.11,1.96,1.63,1.72,0.8,2.09,2.26,1.77,0.5,3.82,2.72,0.62,1.31,2.22,3.51,2.38,1.02,1.47,1.32,1.89,1.11,2.87,2.76,3.19,1.81,0.75,0.5,1.41,1.61,,,,
April,,,,,,1.38,1.32,3.06,1.77,1.46,0.64,3.19,3.3,0.57,1.12,0.52,2.11,3.21,2.18,2.31,2.15,1.49,3.46,2.92,1.77,1.23,1.53,0.41,2.08,2.53,2.6,4.52,0.86,1.42,2.69,1.42,,,,
May,,,,,,1.91,0.71,1.98,0.97,4.42,1.19,0.97,1.2,2.3,1.02,1.68,0.84,1.94,4.07,1.56,2.34,1.3,1.31,0.98,1.06,1.86,4.58,1.97,0.52,2.79,5.36,3.77,2.43,1.85,1.25,0.33,,,,
June,,,,,,0.79,3.05,1.46,0.17,0.64,1.81,3.42,4.59,0.97,0.41,2.41,2.13,1.08,3.88,3.98,2.41,1.76,3.62,3.66,0.72,2.99,0.78,0.04,2.38,0.33,4.42,1.7,3.69,1.83,2.34,1.92,,,,
July,,,,,,2.34,4.76,3.14,0.4,0.44,0.83,2.71,5.3,2.54,2.52,3.22,1.71,3.56,1.03,3.17,4.72,2.11,3.27,3.59,3.9,0.89,5.93,1.08,3.73,1.45,4.03,3.69,1.64,2.73,2.52,7.55,,,,
August,,,,,,4.52,3.68,2.51,1.7,1.43,1.68,0.98,2.21,1.98,1.88,1.92,1.87,4.04,5.03,3.65,1.63,3.6,1.88,1.87,0.89,0.83,2.05,1.37,1.54,3.06,4.61,7.67,2.32,1.68,2.69,2.34,,,,
September,,,,,,0.2,4.96,1.88,3.05,3.81,0.83,5.73,3.66,1.64,2.02,2.65,3.12,3.01,2.86,1.72,4.14,2.3,1.57,4.5,1.42,2.29,1.08,2.23,0.56,1.03,1.75,2.76,1.13,1.53,0.42,0.91,,,,
October,,,,,2.34,4.66,2.35,1.98,2.52,1.33,6.16,2.74,4.23,1.87,1.83,4.38,2.95,3.55,2.14,0.69,4.66,2.58,3.93,3.1,1.39,4.65,3.65,2.03,0.5,3.52,2.09,7.1,6.38,2.13,3.64,2.85,,,,
November,,,,,2.58,2.67,4.16,1.23,1.55,1.24,1.97,0.68,3.91,2,2.44,3.81,2.97,2.63,2.52,1.21,2.22,3.17,3.19,2.53,0.91,1.82,1.59,1.83,5.39,0.75,5.85,5.45,1.88,1.4,1.18,2.62,,,,
December,,,,,1.58,1.13,2.98,1.86,6.85,3.7,2.75,1.17,2.96,0.28,2.57,0.99,6.37,2.51,1.48,1.23,3.94,2.56,3.68,1.13,2.27,0.58,3.59,1.55,1.62,1.85,1.22,4.39,0.38,2.72,1,2.25,,,,
Total,,,,,,23.5,34.89,25.17,24.88,24.78,22.93,25.25,38.76,19.5,20.18,27.06,31.49,34.23,29.25,24.78,32.39,28.39,32.59,30.8,21.61,21.95,31.04,15.46,22.86,21.71,39.87,45.5,26.07,20.54,26,28.14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1-page-095.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt1-page-140.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_10_pt2-page-031.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_16_pt1-page-037.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
