LEEDS HOLBECK (Marshall and Co),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE295326,Long,-1.553714,Lat,53.788887,Elevation,127,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.6,2,1.1,0.6,2.5,1.3,1.2,2.5,1.6,1.7,2.7,1.9,1.9,0.1,2.8,1.9,0.7,1.8,3.1,1.6,1.4,4.3,0.85,1.7,2.05,2.15,2.5,2.1,1.7,0.65,2.75,,1.4,3.1,0.55,3.88,2.31,1.24,0.07,0.27,2.61,3.55,3.86,1.23,3.71,1.2,0.75,0.7,3,1.64,1.25,0.65,2.64,3.53,0.4,2.12,0.45,3.16,3.5,1.19,0.64,1.6,2.25,0.48,3.05,0.82,1.25,1.05,2.02,0.68,,,,,,,,
February,,,0.6,2.3,2.7,1,0.4,0.5,0,0.7,1.5,0.65,1.1,2.2,0.5,1.9,1.8,1.65,0.6,0.8,1.5,3.25,0.3,0.4,1.45,1.55,2.8,1.4,1.15,2.1,1.15,1.9,2.35,,1.2,1.1,2.05,1.78,0.96,2.73,1.74,3.74,1.52,1.88,1.87,2.15,0.43,0.67,0.77,0.94,0.8,0,1.89,2.19,3.79,0.18,0.58,2.77,1.29,1.3,2.68,1.08,1.35,1.71,3.53,0.86,1.28,1.2,1.06,0.32,2.33,1.17,,,,,,,,
March,,,2.75,1.1,2.1,1.7,0.7,1.1,3.8,0.9,0.2,2.3,0.35,1.6,0.4,1.3,0.3,2.4,1.1,1.7,2.2,3.25,3.4,0.6,2,0.55,1.2,1.7,1.65,1.3,1.6,0.7,1.8,,1.55,0.4,3,2.55,0.55,1.31,2.23,3.37,2.2,0.96,1.46,1.32,1.76,1.05,2.73,2.69,1.53,0.74,0.76,0.16,1.42,1.72,2.65,2.35,0.58,1.42,0.54,1.48,0.72,2.23,1.81,2.13,1.18,1.5,2.9,2.19,0.61,0.86,,,,,,,,
April,,,0,2.1,0.1,1.1,4.6,1.8,1.6,1.4,1.95,1.05,0,1.25,0.5,0.2,2.4,2.95,2,3.2,0.5,1.15,1.3,0.7,1.4,1.1,1.15,2.7,1.45,1.1,0.45,2.95,3.1,,1.1,0.45,1.8,3.15,2.07,2.09,2.06,1.47,3.37,2.87,1.66,1.21,1.41,0.41,2.03,2.13,0.69,1.63,0.92,0.72,2.91,1.15,1.04,1.54,2.44,1.19,0.73,1.51,1.53,0.98,1.78,1.61,0.69,1.02,2.02,2.57,1.9,0.58,,,,,,,,
May,,,1.7,3.1,0.2,2.1,0.6,2.9,0.9,1.2,1.3,0.75,0.55,0.8,1.5,1.35,3.8,1.35,1.3,0.25,2.4,0.35,2.9,1,1.35,1.45,0.6,1.55,0.8,3.75,1.15,0.95,0.95,,0.9,1.2,0.6,1.86,3.86,1.46,2.26,1.19,1.3,0.98,0.99,1.79,4.35,1.95,0.49,2.98,2.81,2.12,2.53,1.45,0.71,0.34,0.45,0.52,1.79,2.35,1.11,1.15,1.81,2.66,2.91,0.89,1.91,3.06,2.12,1.68,1.61,0.87,,,,,,,,
June,,,0.75,1.8,0.6,2.9,2.1,1.8,5,1.05,0.6,3.1,3.7,2.4,2.6,1.6,1.7,2.2,2.35,1.9,4.7,1.1,1.65,2.2,1.05,0.6,2.65,1.3,0.13,0.55,1.6,3.15,4.15,,0.4,2,1.75,0.95,3.94,3.9,2.15,1.69,3.52,3.56,0.7,2.87,0.76,0.04,2.25,0.3,2.26,0.99,3.81,2.13,2.29,2.17,2.99,3.78,2.78,1.02,2.09,0.71,1.58,1.09,0.73,1.24,1.04,3.08,0.82,1.88,1.87,3,,,,,,,,
July,,,3.2,2.6,2.5,2,2.2,0.4,1.4,2.45,2.9,1.5,2.7,2.3,1.9,2.7,1.6,1.7,0.9,3.15,2.15,5.05,1.6,1,0.5,1.85,4.45,2.7,0.25,0.25,0.8,2.1,4.85,,2.4,2.8,1.65,3.49,0.98,3.09,4.5,1.97,3.14,3.5,3.93,0.87,5.75,1.02,3.72,1.37,1.45,2.45,1.43,2.26,2.4,6.62,1.54,0.35,0.89,1.46,3.72,1.04,1.64,1.97,1.18,1.13,0.47,1.1,2.1,1.97,2.16,0.28,,,,,,,,
August,,,1,2.2,1.8,5.2,2.5,1.8,2.4,1.6,1.5,1.7,1.35,1.25,1.2,1.75,5,4.35,1.9,3.2,3.75,0.45,1.4,3.15,0.7,4,3.05,2.25,1.5,1.25,1.4,0.8,2,,1.65,1.5,1.74,3.89,4.78,3.47,1.48,3.47,1.78,1.78,0.89,0.75,2.19,1.27,1.57,3.26,3.51,3.43,2.22,2.22,2.4,1.45,1.8,2.49,2.53,1.23,5.09,1.25,2.36,2.01,3.22,3.01,1.74,1.02,1.46,2.24,3.25,1.53,,,,,,,,
September,,,2.2,0.25,1.6,1,1.1,0.7,4,3.5,1.5,1.5,3.3,2.3,0.4,0.4,3.4,2.2,2.7,3.15,2,2.7,1.9,2.55,1.15,0.1,4.5,1.7,2.7,3.4,0.6,5.4,3.4,,1.9,2.1,2.89,2.93,2.65,1.65,4.03,2.32,1.6,4.34,1.38,2.14,1.01,2.14,0.54,1.01,1.6,1.6,1.21,1.09,0.37,1.32,2.9,1.64,0.24,1.62,0.41,0.82,1.89,3.33,0.56,0.81,0.54,0.57,2.17,1.55,0.08,2.51,,,,,,,,
October,,,1,4.25,1,2.75,4.6,1.75,4,3,1.1,1.2,3.25,2.7,1,4,2,0.8,2.5,2.3,1.2,0.7,3.85,3,2.15,4.4,2.15,1.75,2.4,1,5.75,2.65,4,,1.6,3.7,2.8,3.38,1.95,0.64,4.46,2.54,3.88,2.97,1.29,4.39,3.46,1.92,0.49,2.99,0.37,3.07,6.61,2.07,3.52,2.48,3.67,2.03,3.31,3.16,2.59,1.4,2.28,6.57,0.4,1.6,3.83,3.42,1.03,1.99,2.43,2.4,,,,,,,,
November,,,2.6,2.1,2.3,1,1.9,1.1,0.9,2.1,2.3,0.35,5.25,2.4,2.1,0.6,0.7,1,1.05,1.35,2.6,2.25,0.4,1.1,2.4,2.35,3.8,1.1,1.45,1.05,1.8,0.6,3.75,,2.45,3.5,2.82,2.45,2.35,1.13,2.06,3.08,2.93,2.39,0.85,1.79,1.46,1.74,5.36,0.7,2.2,2.75,1.33,1.18,1.15,1.99,1.5,1.83,1.81,0.93,3.34,3.28,1.53,1.13,1.29,3.07,2.72,2.44,1.2,0.24,3.23,2.63,,,,,,,,
December,,,0.45,0.1,0.3,3.4,0.7,3.7,1.9,2.8,0.7,1.1,3.1,0.5,1.8,0.7,1.8,0.5,1.5,2,2.5,1.45,1.15,1.45,1.65,1,2.65,1.6,6.65,3.2,2.5,0.95,2.8,,2.3,0.7,6.03,2.39,1.44,1.12,3.85,2.49,3.6,1.06,2.14,0.51,3.46,1.5,1.62,1.62,0.26,3.81,0.39,2.65,1.09,2.41,3.16,2.62,2,1.72,2.72,4.13,2.18,1.32,1.21,0.21,1.91,2.02,1.12,2.02,2.44,3.56,,,,,,,,
Total,23.6,25,17.85,23.9,16.3,24.75,23.9,18.85,27.1,23.2,17.15,16.9,27.35,21.6,15.8,16.6,27.3,23,18.6,24.8,28.6,23.3,21.25,21.45,16.65,20.65,31.05,21.9,22.63,21.05,20.5,22.8,35.9,17.5,18.85,22.55,27.68,32.7,27.84,23.83,30.89,27.6,31.45,29.84,21.02,21.02,29.75,14.91,22.32,20.69,20.48,24.23,24.35,18.77,24.69,25.36,22.68,24.04,20.11,20.56,28.52,19.04,19.51,26.6,20.87,17.04,20.36,21.25,19.25,19.7,23.93,20.07,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_E_pt1-page-093.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1-page-194.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1-page-094.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt1-page-139.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_16_pt1-page-036.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_21_pt1-page-043.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1-page-055.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
