PILTOWN BESSBOROUGH PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS4681922693,Long,-7.3135,Lat,52.354139,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.95,4.25,2.58,4.95,1.93,,,,,,,,,,,,,,,,,3.63,3.57,4.8,4.75,4.85,1.93,6.81,4.14,,,,,,,1.08,5.52,8.78,1.56,1.99,1.65,2.35,4.02,4.38,5.17,2.62,4.36,1.41,7.82,5.21,8.08,3.5,,,,1.79,4.06,2.72,3.74,0.84,6.22,6.17,4.01,4.84,4.3
February,,,,,,,5.01,1.06,2.5,5.01,5.44,,,,,,,,,,,,,,,,,2.16,1.2,4.41,5.26,1.83,4.49,2.95,5.96,,,,,,,2.44,5.34,2.38,5.9,5.73,4.23,1.7,4.69,4.24,1.84,2.14,2.52,7.04,2.01,4.28,3.39,2.1,,,,1.66,0.46,3.47,0.13,2.72,4.44,4.41,2.89,3.89,6.84
March,,,,,,,3.22,2.57,0.54,1.5,3.93,,,,,,,,,,,,,,,,,4.55,0.39,1.32,0.58,1.46,2.05,7.02,2.38,,,,,,,2.41,3.84,3.09,4.24,0.95,1.92,4.33,2.23,2.91,4.07,3.08,1.26,3.08,1.07,0.45,1.04,4.37,,,,6.49,2.23,2.68,3.03,1.34,3.69,4.88,0.84,2.13,2.11
April,,,,,,,2.88,5.37,3.3,2.11,4.52,,,,,,,,,,,,,,,,,3.55,4.45,1.95,1.4,2.53,3.62,1.09,1.28,,,,,,,2.52,1.06,4.35,1.56,1.22,2.15,1.46,1.62,1.17,3.98,0.4,2.41,4.47,2.49,3.08,2.47,1.84,,,,2.42,1.61,1.85,3.7,4,1.67,3.54,0.01,1.1,2.99
May,,,,,,,0.87,1.97,5.29,1.7,0.75,,,,,,,,,,,,,,,,,1.9,2.03,3.25,3.29,1.74,1.4,2.86,2.58,,,,,,,1.28,2.06,5.5,1.86,2.25,3.62,4.1,2.86,4.23,2.97,2.38,0.93,0.74,3.33,3.74,2.77,2.17,,,,5.57,3.8,3.7,2.59,0.86,1.34,2.02,3.91,1.26,2.14
June,,,,,,,0.86,2.79,4.57,4.76,1.79,,,,,,,,,,,,,,,,,3.43,3.03,2.45,4.83,2.74,3.45,4.02,2.97,,,,,,,2.02,4.95,2.04,0.7,1.09,3.1,1.39,1.77,1.52,1.4,0.01,0.75,0.54,3.57,0.33,2.32,2,,,,2.98,1.95,2.58,1.53,6.04,2.62,1.06,3.8,1.95,1.42
July,,,,,,,1.61,2.14,0.77,3.3,3.81,,,,,,,,,,,,,,,,,1.73,0.95,1.38,3.62,0.85,3.22,5.79,4,,,,,,,2.63,6.31,0.25,2.74,5.64,1.26,1.96,4.15,1.18,5.48,5.17,2.63,2.1,4.06,2.51,2.35,5.34,,,,4.16,3.59,1.33,0.61,0.41,5.21,3.29,5.01,4.14,2.91
August,,,,,,,3.53,6.71,3.47,4.85,1.26,,,,,,,,,,,,,,,,,5.98,3.93,3.72,1.64,3.1,3.24,5.57,3.76,,,,,,,2.11,3.7,1.57,5.41,3.11,2.11,8.38,2.61,3.56,3.08,4.18,3.75,5.45,3.84,1.64,3.36,4.33,,,,2.82,2.99,1.69,4.68,0.88,0.62,1.69,3.11,1.43,0.13
September,,,,,,4.82,5.06,2.9,2.04,3.93,3.39,,,,,,,,,,,,,,,,,2.64,2.48,1.06,0.77,5.38,4.12,3.69,3.33,,,,,,,3.84,0.53,4,2.13,2.32,1.32,1.46,6.08,1.43,1.47,1.02,3.64,2.91,5.82,2.56,1.14,2.56,,,,4.04,1.67,2.24,6.3,6.55,3.69,3.53,3.33,2.66,1.39
October,,,,,,8.76,6.32,4.99,3.41,1.22,3.76,,,,,,,,,,,,,,,,,4.14,5.67,2.05,3.41,3.64,2.14,5.03,2.24,,,,,,,3.62,2.47,5.89,1.81,6.03,7.41,2.7,3.43,0.75,6.79,2.2,0.93,4.33,4.47,4.06,2.13,2.94,,,,1.23,4.15,3.56,3.49,2.28,1.35,3.6,4.1,2.75,7.69
