Rainfall at,BATHEASTON RESERVOIR,
Grid ref,ST769685,Long,-2.333554,Lat,51.415042
Station no,1988,
,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.82,2.42,0.74,1.85,2.84,4.21,2.39,2.82,3.87,3.26,
February,4.78,0.61,2.23,3.37,1.76,0.22,2.86,3.58,0.19,2.40,
March,3.21,2.87,0.80,4.06,1.26,0.89,2.37,1.28,3.27,2.13,
April,3.83,1.58,2.50,0.41,1.09,1.34,0.08,1.23,2.47,1.39,
May,2.33,4.35,2.08,2.19,4.83,0.40,2.20,2.55,1.55,1.51,
June,1.61,2.39,1.31,4.59,3.27,2.09,1.47,5.03,2.03,2.49,
July,1.04,1.54,3.05,3.03,1.55,3.11,3.55,3.35,3.20,5.24,
August,5.50,4.90,3.74,2.97,1.64,4.51,4.37,2.48,2.99,4.30,
September,3.19,3.49,3.92,3.93,1.49,3.13,3.77,4.37,0.21,3.68,
October,0.80,4.33,2.11,2.83,1.38,1.59,3.15,2.33,2.95,6.61,
November,6.95,4.84,1.49,6.77,3.08,0.83,2.17,2.52,3.65,4.54,
December,2.44,2.58,0.64,2.32,3.81,3.51,2.54,4.05,6.42,4.92,
Total,38.50,35.90,24.61,38.32,28.00,25.83,30.92,35.59,32.80,42.47,
Calc annual,38.50,35.90,24.61,38.32,28.00,25.83,30.92,35.59,32.80,42.47,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,
