CROMAR LOGIE-COLDSTONE LOANHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ428058,Long,-2.946761,Lat,57.139522,Elevation,743,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921
January,,,,1.3,1.08,1.93,0.9,2.34,1.01,1.62,0.61,0.65,1.32,1.99,3.37,1.39,2.41,1.36,2.22,0.63,2.86,1.24,2.65,1.68,2.89,4.45,1.1,3.42,0.72,3.27,2.73,2.81,1.11,2.43,1.3,0.84,2.89,1.97,1.47,2.01,1.88,1.21,3.63,3.69,1.41,4.18,2.41,2.05,2.6,3.64,1.3,1.4
February,,,,1.59,0.91,0.89,3.21,2.79,0.71,2.09,2.93,2.46,0.9,4.05,2.15,1.34,0.92,0.79,1.33,3.18,1.16,0.21,1.87,3.18,3.06,1.78,0.54,0.59,2.21,1.68,4.24,3.22,0.59,3.1,3.79,2.07,2.6,1.63,2.04,1.37,2.42,1.34,1.81,1.14,2.12,4.99,2.56,0.83,1.24,1.29,1.03,0.48
March,,,,1.2,1.65,0.67,2.75,2.03,2.2,2.55,0.69,1.56,2.12,4.2,2.98,1.69,2.04,2.95,3.71,1.24,2.88,2.27,0.87,0.31,1.57,3.63,1.83,4.59,1.88,4.03,2.74,3.19,1.75,1.63,1.7,3.61,2.39,1.73,5.04,6.23,2.55,2.68,2.16,4.83,3.31,2,2.34,3.25,1.26,2.36,2.15,1.36
April,,,,1.62,0.49,1.1,2.62,2.64,1.33,3.36,2.18,1.11,2.95,1.09,1.34,1.54,0.79,1.27,1.54,4.36,1.29,1.19,0.69,1.27,1.26,0.95,1.02,1.37,4.95,3.66,1.92,1.54,2.15,2.86,1.77,3.07,1.66,2.89,3.57,3.11,4.12,1.49,0.77,2.49,0.71,2.17,4.08,1.46,0.71,4.61,2.45,1.19
May,,,,3.42,1.63,0.84,1.23,1.69,1.57,3.66,0.34,2.04,1.89,1.53,1.57,3.95,4.71,1.34,1.15,0.57,1.21,2.75,2.66,0.75,4.63,0.78,1.27,2.16,2.22,2.52,1.47,2.72,4.89,1.94,3.13,1.24,7.41,6.07,1.39,3.18,2.48,1.63,2.43,5.92,3.6,0.76,4.86,2.09,1.91,0.86,2.23,2.57
June,,,,1.29,1.06,2.44,2.19,4.5,2.52,2.89,3.87,1.57,3.74,2.2,0.76,1.39,1.01,0.69,2.54,0.87,2.01,0.36,1.91,3.27,1.81,3.49,2.57,4.51,0.92,1.41,2.28,2.36,3.53,1.33,0.61,1.21,0.87,4.54,1,1.71,1.28,1.85,2.32,2.36,1.7,0.79,4.33,2.47,1.37,1.56,0.58,1.2
July,,,,3.51,3.32,4.37,0.93,3.11,0.35,3.17,5.04,2.77,4.81,5.15,3.67,1.22,3.71,1.72,4.03,2.43,2.48,4.74,2.42,2.49,3.45,3.45,2.86,1.73,0.71,2.12,4.14,3.07,3.54,5.02,1.07,2.82,1.76,1.79,3.53,3.53,3.96,1.81,1.93,0.85,2.92,3.39,4.16,1.68,4.2,0.54,2.69,1.89
August,,,,2.32,7.44,2.36,1.51,4.11,7.1,3.56,0.95,3.6,1.74,4.18,1.39,3.39,0.99,1.65,1.48,5.63,2.92,4.56,3.81,3.81,5.86,3.48,1.48,3.78,2.76,0.78,4.77,2.88,2.79,3.64,3.77,3.94,5.24,2.8,2.79,1.96,4.9,1.23,4.58,1.34,1.34,2.8,3.88,4.45,2.78,1.96,2.83,2.54
September,,,,4.26,1.63,2.82,3.15,1.83,3.51,1.11,2.19,3.62,3.59,3.51,1.32,4.67,1.95,3.47,1.21,1.12,1.88,3.92,2.57,4.24,1.04,1.54,4.2,0.98,2.67,4.29,1.68,1.03,1.69,2.09,1.7,1.88,1.19,1.02,3.47,1.99,0.79,0.73,2.68,2.83,0.91,4.46,1.71,1.35,4.22,2.94,2.75,0.96
October,,,,2.68,3.01,5.09,3.33,2.22,5.52,0.79,2.92,5,2.21,1.47,3.89,2.79,3.2,2.46,2.51,2.5,4.95,2.47,6.05,2.9,2.66,6.8,7.33,1.9,4.95,0.85,2.78,2.42,1.41,5.43,0.6,3.87,5.52,5.36,1.53,3.23,3.65,2.76,4.92,1.18,3.29,4.67,4.57,2.83,1.48,3.13,3.94,1.25
November,,,,5.2,2.63,3.94,3.29,3.93,6.1,3.4,2.64,2.6,4.14,1.3,3.14,3.49,2.82,2.99,4.32,2.07,3.94,3.44,1.44,4.55,0.6,2.23,1.17,2.91,3.82,1.87,3.18,1.98,3.25,2.83,1.67,6.38,6.5,1.67,1.76,1.46,6.06,6.63,2.5,1.33,6.19,4.9,3.92,4.46,1.71,4.09,2.25,2.3
December,,,,2.06,2.15,1.78,10.04,1.21,3.15,0.28,2.75,0.63,3.93,2.18,1.15,1.65,2.88,2.43,1.48,1.46,1.69,1.84,1.36,1.72,2.26,3.73,6.19,3.41,2.34,3.16,2.71,3.76,4.1,3.36,2.94,0.55,3.64,3.17,2.93,3.02,4.64,5.04,1.24,3.01,6.29,7.57,3.16,0.96,1.74,2.82,2.57,1.51
Total,,,,30.45,27,28.23,35.15,32.4,35.07,28.48,27.11,27.61,33.34,32.85,26.73,28.51,27.43,23.12,27.52,26.06,29.27,28.99,28.3,30.17,31.09,36.31,31.56,31.35,30.15,29.64,34.64,30.98,30.8,35.66,24.05,31.48,41.67,34.64,30.52,32.8,38.73,28.4,30.97,30.97,33.79,42.68,41.98,27.88,25.22,29.8,26.77,18.65
