SILCHESTER-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU628618,Long,-1.09883,Lat,51.35222,Elevation,325,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,767/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.08,1.84,0.45,4.62,4.88,2.48,4.66,2.73,2.62,3.61,4.62,1.6,1.32,2.1,1.69,5.12,1.12,0.68,3.1,2.02,0.84,1.32,3.49,3.71,2.04,3.24,3.11,3.07
February,,,3.35,0.02,2.48,1.81,4.4,0.47,1.3,2.04,1.91,0.79,1.13,0.85,1.83,2.28,1.36,0.87,1.21,4.01,5.34,0.76,1.3,2.69,1.44,0.24,3.33,2.5,0.16,3.69
March,,,2.51,2.18,0.51,2.16,3.48,0.16,1.15,2.63,3.03,2.46,0.56,0.13,0.7,1.12,5.25,0.84,1.42,0.95,3.54,2.31,0.38,2.59,1.05,0.57,1.47,1.17,3.01,1.26
April,,,1.27,1.5,3.18,1.54,2.13,0.07,2.63,1.04,1.88,1.52,0.76,1.07,1.05,1.67,2.09,1.45,1.58,2.16,2.74,1.52,2.31,0.29,0.26,1.2,0.18,1.12,2.41,0.64
May,,,1.53,0.57,0.69,0.8,3.59,1.53,1.31,1.13,1.27,2.99,2.56,0.28,1.82,2.81,1.56,2.62,1.99,1.28,2.8,3.07,1.86,2.2,3.53,0.36,1.55,1.6,1.41,1.83
June,,,3.84,1.61,3.72,3.1,1.36,0.69,1.41,0.7,1.82,0.62,0.89,1.97,2.33,2.42,1.84,1.62,0.27,0.91,0.53,1.47,1.46,3.14,2.63,2.04,1.41,3.37,1.94,2.04
July,,,1.1,1.86,0.84,4.06,1.18,1.93,3.78,2.26,4.28,1.48,1.81,2.46,2.67,2.01,1.29,0.66,1.96,4.37,0.88,0.4,3.38,2.46,0.18,3.26,4.08,2.03,2.51,2.21
August,,,0.26,2.83,2.46,1.23,0.68,1.8,1.71,0.14,4.18,1.71,1.32,1.53,1.18,3.62,0.57,4.87,1.53,3.88,3.28,2.22,2.25,3.71,0.52,3.89,1.56,4.19,1.99,2.99
September,,,4.37,1.61,3.61,3.31,1.38,0.69,0.72,1.37,0.23,1.08,1.04,2.33,2.3,4.03,1.06,2.44,2.78,3.41,3.39,2.71,2.04,2.38,1.15,3.12,3.23,2.35,0,3.5
October,,,1.36,1.32,3.69,1.48,2.81,2.97,5.11,3.24,1.38,3.52,4.09,3.64,3.65,0.96,0.58,2.24,6.39,0.48,0.75,4.01,2.32,2.31,3.14,1.5,2.23,2.63,2.55,7.83
November,,,0.64,1.82,4.9,3.44,1.09,3.88,5.17,7.16,2.88,1.77,1.52,4.74,0.17,5,1.1,1.9,3.15,4.91,7.24,3.39,1.19,5.65,2.09,0.72,1.62,2.29,2.36,3.61
December,,,0.7,7,2.82,2.49,2.56,2.74,1.36,1.16,1.55,3.51,1.61,2.01,3.03,2.52,2.45,3.99,1.37,1.43,2.2,2.23,0.73,2.4,3.47,4.01,2.73,2.9,5.22,3.66
Total,,,23.01,24.16,29.35,30.04,29.54,19.41,30.31,25.6,27.03,25.06,21.91,22.61,22.05,30.54,20.84,28.62,24.77,28.47,35.79,26.11,20.06,31.14,22.95,24.62,25.43,29.39,26.67,36.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silchester House has large gardens and not any useful info to locate it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Therefore used NGR from MIDAS which matches altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Observer states he also keeps a self recording Hyetograph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Jan Part estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
