SILCHESTER-HOUSE-(THE-OLD-HOUSE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU629622,Long,-1.09743,Lat,51.3554,Elevation,340,ft,,,,,,,,,,,,,
Station no,767/4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.44,1.61,1.63,,,,,,,,
February,,,,,,,,,,,0.89,1.52,0.2,,,,,,,,
March,,,,,,,,,,,1.01,0.23,2.17,,,,,,,,
April,,,,,,,,,,,1.17,3.08,2.82,,,,,,,,
May,,,,,,,,,,,2.15,3.17,4.24,,,,,,,,
June,,,,,,,,,,,1.27,1.95,1.34,,,,,,,,
July,,,,,,,,,,,1.63,3.02,2.25,,,,,,,,
August,,,,,,,,,,,2.11,3.09,2.17,,,,,,,,
September,,,,,,,,,,,1.9,1.86,3.24,,,,,,,,
October,,,,,,,,,,,1.33,0.8,4.13,,,,,,,,
November,,,,,,,,,,,4.5,3.3,1.76,,,,,,,,
December,,,,,,,,,,,3.39,0.9,0.62,,,,,,,,
Total,,,,,,,,,,,24.79,24.53,26.57,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
8in gauge 5ft above ground,,,,,,,,,,,,,,,,,,,,,
1930 Not printed,,,,,,,,,,,,,,,,,,,,,
1931 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1932 Not printed Low,,,,,,,,,,,,,,,,,,,,,
Recording gauge No reply to letters re purchase of standard gauge,,,,,,,,,,,,,,,,,,,,,
1933 Station terminated,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Given altitude of 400 much too high for Silchester Max elevation about 330,,,,,,,,,,,,,,,,,,,,,
