GLENLUCE (CREWS) (LADYBURN) - 1922,,,,,,,,,,,
Grid ref,NX203576,Long,-4.8027161,Lat,54.880767,Elevation,120,ft,,,
Station no,RR6281,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,6.87,4.68,6.78,,,,,,
February,,,6.16,8.03,0.98,,,,,,
March,,,2,1.69,1.83,,,,,,
April,,,3.89,2.92,2.72,,,,,,
May,,,2.83,3.05,3.73,,,,,,
June,,,2.7,1.9,3.15,,,,,,
July,,,4.02,4,4.96,,,,,,
August,,,3.47,8.34,4.17,,,,,,
September,,,3.08,4.68,6.12,,,,,,
October,,,2.7,4.63,3.16,,,,,,
November,,,4.22,5.02,2.88,,,,,,
December,,,3.28,8.28,5.22,,,,,,
Total,,,45.22,57.22,45.7,,,,,,
,,,,,,,,,,,
gauge at Crews 1920-1921 inclusive,,,,,,,,,,,
