ARDGAY (BRAE LANGWELL LODGE),,,,,,,,,,,,,,,,,,,,
Grid ref,NH5178192732,Long,-4.50248,Lat,57.8993,Elevation,180,ft,,,,,,,,,,,,
Station no,5778/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,7.77,5.36,1.71,3.62,3.97,2.5,7.45,4.77,3,2.9,,,
February,,,,,,,,4.41,3.52,1.16,3.81,3.92,6.73,3.77,3.97,5.48,,,,
March,,,,,,,,5.05,3.68,3.06,2.81,1.45,2.92,3.43,2.75,1.57,,,,
April,,,,,,,,2.04,3.39,4.97,2.64,2.12,5.84,2.02,3.26,2.87,,,,
May,,,,,,,,2.66,0.65,2.36,2.92,2.29,2.01,3.59,2.96,1.66,,,,
June,,,,,,,,4.45,1.36,1.11,0.57,2.96,2.65,3.88,3.83,2.49,,,,
July,,,,,,,,5.76,8.06,9.1,2.25,4.47,3.2,1.56,2.95,6.23,,,,
August,,,,,,,,2.12,1.8,2.53,5.98,4.63,4.85,2.68,2.06,4.16,,,,
September,,,,,,,,2.97,1.49,3.48,1.36,5.83,3.98,4.9,4.76,5.28,,,,
October,,,,,,,,7.76,3.23,4.81,6.37,7.21,4.64,5.42,4.47,0.68,,,,
November,,,,,,,,4.01,6,7.04,4.83,1.86,4.8,6.03,1.03,7.1,,,,
December,,,,,,,,2.99,4.23,4.97,5.01,5.11,2.59,4.89,4.93,4.24,,,,
Total,,,,,,,,51.99,42.77,46.3,42.17,45.82,46.71,49.62,41.74,44.76,,,,
,,,,,,,,,,,,,,,,,,,,
1947 -999 Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5778/5,,,,,,,,,,,,,,,,,,,
Midas,14491,,,,,,,,,,,,,,,,,,,
Hyd Stn,784350,,,,,,,,,,,,,,,,,,,
