LEEDS PHILOSOPHICAL HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE299336,Long,-1.5475,Lat,53.7979,Elevation,137,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1,1.2,0.46,1.48,2.58,0.28,0.1,2.32,0.84,0.66,3.81,2.9,1.3,1.85,1.83,1.08,1.73,2.76,1.5,0.91,1.08,0.91,1.63,1.73,2.28,1.48,1.53,1.58,3.23,2.96,0.31,0.06,2.53,2.03,0.74,1.13,2.98,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,0.61,0.24,2.61,0.63,0.64,0.12,0.23,2.49,0.18,2.8,1.42,2.64,1.49,0.74,2.8,0.7,1.58,1.12,1.3,3.07,0.96,2.16,0.36,1.5,4.27,1.82,1.72,0.66,1.16,0.39,0.34,1.39,1.35,0.31,0.56,1.11,0.5,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,2.26,1.1,0.55,2.38,1.52,0.1,0.11,2.04,1.4,1.28,1.37,2.56,2.35,0.8,1.44,1.22,0.3,1.01,2.65,0.88,1.03,0.88,1.13,2.25,3.16,1.06,0.33,2.36,0.39,0.86,0.53,1.28,0.29,3.23,0.38,2.16,1.39,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.79,1.39,1.59,0.97,1.19,0.18,1.26,1.42,1.55,0.3,1,1.63,2.43,0.7,1.61,0.5,1.02,2,0.3,3.49,0.91,0.92,4.2,2.42,0.83,2.58,2.03,1.43,0.09,1.16,0.67,0.35,2.11,3.11,2.24,4,0.75,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,0.56,2.61,0.53,1.66,1.69,0.1,3.71,1.96,1.24,1.34,1.5,1.63,0.56,1.04,2.05,0.56,3.61,2.08,1.24,3.75,0.99,2.02,1.46,2.7,1.22,0.26,2.23,1.13,0.77,1.19,1.37,1.32,3.63,1.62,1.44,0.73,2.81,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.08,1.2,0.39,0.84,2.96,2.1,3.59,2.3,3.93,3.52,1.8,1.96,2.6,1.15,2.07,3.2,1.82,2.53,0.7,2.83,0.81,2.56,2.06,2.33,4.95,1.9,0.99,3.13,3.5,2.41,2.63,1.62,1.79,2.78,2.48,1.99,4.43,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,3.88,0.71,0.54,1.59,1.31,5.96,5.17,3.59,3.48,2.14,1.24,4.44,0.9,3.08,1.11,2.08,4.4,3.25,2.6,3.99,2.88,1.15,3.1,1.85,1.06,2.14,2.58,2.04,2.11,2.28,2.19,1.96,2.82,1.59,2.14,1.15,3.62,2.59,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,4.24,1.68,2.51,1.64,2.83,2.87,6.66,1.95,3.7,4.33,3.36,2.23,0.87,1,1.46,1.79,2.56,2.1,2.96,1,3.57,2.9,2.66,2.46,1.98,3.97,1.7,1.71,1.74,1.67,1.4,1.38,1.87,3.95,4.79,2.22,3.37,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,2.19,3.72,1.7,3.75,1.66,2.2,2.2,4.52,1.26,0.54,1.83,1.55,2.68,2.4,1.34,1.7,2.96,2.88,0.5,2.2,1.77,0.82,2.12,0.71,0.16,4.03,3.48,2.56,1.48,3.44,1.68,0.43,0.47,2.69,2.19,2.75,3.5,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,2.44,6.21,2.39,1.77,4.31,1.1,1.29,0.3,4.5,2.5,1.59,0.53,2.97,2.8,1.3,2.29,3.63,1.05,3.63,1.25,2.44,1.17,1.98,3.73,2.08,2.3,3.12,0.28,1.29,3.69,3.19,1.11,4.23,1.71,1.17,3.63,2.19,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
