LEEDS PHILOSOPHICAL HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE299340,Long,-1.547,Lat,53.8016,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,0.62,2.49,3.75,4.04,1.29,3.54,1.58,0.57,0.75,3.28,1.32,1.43,0.71,2.65,4,0.46,2.18,0.66,3.38,3.15,1.29,1,2.11,2.33,0.56,2.86,0.71,1.34,1.22,2.89,0.72,3.67,2.92,1.17,3.63,0.91,2.23,1.86,3.67,3.04,3.38,3.18,1.31,1.94,2.26,2.71,,,,
February,,3.59,1.64,1.99,1.94,2.14,0.53,0.82,0.73,1,0.69,0.03,2.11,3.03,4.41,0.28,0.82,2.85,1.39,1.27,3.88,1.11,1.16,1.9,3.16,1.26,1.76,1.34,1.31,0.57,1.93,1.45,1.94,0.62,1.37,3.15,3.63,0.45,2.59,1.25,1.66,0.09,2.4,3.74,0.92,3.88,2.34,,,,
March,,3.87,1.78,0.52,1.45,1.31,2.03,0.9,2.7,2.12,1.66,0.96,0.8,0.29,1.71,2.08,2.82,2.59,0.78,1.04,0.44,1.63,0.84,3.02,1.68,1.96,1.48,1.57,3.9,2.62,0.44,0.78,3.19,2.92,2.05,0.99,4.01,2.32,1.03,4,1.75,1.17,1.58,1.37,1.25,0.83,0.72,,,,
April,,1.39,3.21,2.85,1.82,1.24,1.7,0.7,2.09,2.25,0.85,1.66,1.06,0.87,3.08,1.55,1.21,1.81,2.62,1.67,1,1.9,1.69,1.28,1.14,2.31,0.48,1.33,2.2,2.39,1.96,0.73,0.17,2.46,1.06,0.69,1.09,1.48,0.98,1.54,3.66,1.31,2.47,1.78,1.45,3.07,1.19,,,,
May,,1.33,1.2,0.91,1.12,2.16,4.08,2.01,0.63,2.65,2.62,2.08,2.91,1.9,1.37,0.43,0.5,1.29,1.81,2.87,1.23,1.14,2.6,3.29,2.81,0.6,1.67,3.55,1.92,1.69,1.63,1.13,3.14,2.1,0.8,1.26,2.1,2.18,2.98,1.74,2.25,1.19,0.83,3.12,3.39,3.71,2.54,,,,
June,,1.66,3.33,3.42,0.74,2.78,0.88,0.06,2.56,0.45,1.55,0.91,4.23,1.74,2.28,3.1,3.56,2.88,2.43,1.39,2.67,0.87,1.74,1.4,1.02,2.28,1.74,2.71,0.84,2.49,2.18,3.99,4.54,1.55,1.71,1.51,1.25,1.31,1.19,0.92,1.47,0.01,1.33,0.6,1.63,0.07,3.1,,,,
July,,2.15,3.04,3.25,4.62,0.89,4.62,1.1,4.04,1.4,2.94,2.42,1.81,4.41,2.66,6.8,1.42,0.39,0.84,1.47,3.58,0.95,1.74,2.34,1.66,1.1,1.06,1.76,2.37,2.75,2.94,0.37,4.74,0.55,3.13,3.27,0.94,1.02,4.59,3.07,5.28,0.46,3.62,4.22,2.66,0.71,2.73,,,,
August,,3.71,1.63,1.78,0.94,0.85,1.87,1.56,1.65,3.25,3.94,3.65,2.67,2.22,2.6,1.82,1.92,2.75,3.23,1.57,5.18,1.3,3.88,2.24,3.36,4,1.57,1.26,1.92,2.41,3.28,1.87,5.09,1.16,1.95,2.5,1.62,5.48,2.3,2.05,1.56,3.75,4.53,2.21,2.47,2.06,2.75,,,,
September,,2.22,1.54,4.15,1.38,2.26,1.16,2.41,0.61,1.18,1.69,1.48,1.53,1.52,0.43,1.13,3.19,2.17,0.31,3.07,0.43,0.93,0.95,3.46,0.72,1.5,0.46,0.6,2,1.48,0.14,2.51,1.21,1.14,1.12,0.61,1.84,0.63,6.8,0.71,1.18,0.79,2.37,2.32,2.32,2.78,1.1,,,,
October,,2.65,3.64,2.6,1.51,4.15,3.8,1.89,0.43,3.4,0.7,3.63,7.01,2.25,3.87,3.32,3.97,1.63,3.5,2.15,3.1,1.63,2.34,6.79,0.45,1.64,4.21,5.1,1.26,1.84,3.15,2.44,2.53,2.66,2.06,0.91,4.06,3.94,1.93,2.78,1.87,1.7,0.79,1.98,2.83,2.96,2.42,,,,
