CONDOVER-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ495056,Long,-2.747816,Lat,52.645774,Elevation,277,ft.,,,,,,,,,,,,
Station no,RR6418,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,3.24,2.46,0.81,0.6,3.93,,,,,,,,,
February,,,,,,,2.12,0.56,0.73,1.34,0.63,,,,,,,,,
March,,,,,,,2.3,1.58,2.41,1.95,1.1,,,,,,,,,
April,,,,,,,1.03,0.92,1.46,4.33,0.55,,,,,,,,,
May,,,,,,,7.51,1.91,0.48,3.39,2.5,,,,,,,,,
June,,,,,,,1.43,1.45,2.28,0.39,1.04,,,,,,,,,
July,,,,,,0.42,2.01,1,5,2.55,2.07,,,,,,,,,
August,,,,,,3.43,1.09,2.22,3.43,2.67,2.54,,,,,,,,,
September,,,,,,3.25,1.96,1.81,0.53,1.82,0.55,,,,,,,,,
October,,,,,,4.55,3.95,2.58,1.05,2.72,1.49,,,,,,,,,
November,,,,,,3.11,1.56,2.27,4.88,1.24,3.28,,,,,,,,,
December,,,,,,0.78,3.24,2.17,2.41,1.35,0.86,,,,,,,,,
Total,,,,,,,31.44,20.93,25.47,24.35,20.54,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Condover Hall.,,,,,,,,,,,,,,,,,,,,
Stated altitude changes but 277 is better match to OS map.,,,,,,,,,,,,,,,,,,,,
No other Shropshire locations within 10km covering the same period.,,,,,,,,,,,,,,,,,,,,
