"KINGSWOOD (MARGERY HALL RESERVOIR) SURREY",,,,,,,,,,,,
Grid ref,TQ252526,Long,-0.207123,Lat,51.258824,,,,,,,
Station no,77,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.96,2.27,1.82,1.59,3.10,4.66,2.52,3.24,3.24,3.27,,
February,6.88,0.98,1.57,2.54,1.63,0.38,4.56,2.50,0.09,2.40,,
March,3.92,3.71,0.38,2.81,1.63,1.09,1.70,1.98,2.67,2.06,,
April,3.33,1.79,2.63,0.43,0.39,2.11,0.32,1.06,2.78,0.87,,
May,3.06,1.71,2.16,2.59,4.60,0.28,1.67,2.83,0.95,1.93,,
June,1.43,1.82,1.91,4.93,1.88,3.44,1.06,4.50,1.58,1.73,,
July,2.61,0.91,3.81,4.08,1.68,6.11,4.04,1.68,1.04,4.14,,
August,4.82,3.05,1.90,3.59,1.34,3.34,3.32,3.63,1.32,3.63,,
September,3.44,2.99,4.14,2.80,2.45,3.53,3.23,7.08,0.15,3.57,,
October,1.28,3.71,4.21,2.75,4.86,1.40,2.16,4.09,3.13,6.85,,
November,7.59,3.48,1.97,6.12,1.46,1.01,3.20,2.60,3.47,5.52,,
December,3.32,2.99,0.81,2.70,3.07,4.47,2.64,3.76,5.47,3.73,,
Total,45.64,29.41,27.31,36.93,28.09,31.82,30.42,38.95,25.89,39.70,,
Calc annual,45.64,29.41,27.31,36.93,28.09,31.82,30.42,38.95,25.89,39.70,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
