STREET-WRAXHILL-CORNER,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST484362,Long,-2.73829,Lat,51.12319,Elevation,70,ft,,,,,,,,,,,,,
Station no,2004,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.5,3.72,2.09,1.92,1.83,2.12,0.71,,,,,
February,,,,,,,,,,1.39,0.38,2.27,0,3.78,0.23,2.48,,,,,
March,,,,,,,,,,0.21,2.41,0.93,1.75,2.39,2.15,1.03,,,,,
April,,,,,,,,,,0.83,2.62,2.18,2.36,1.45,2.32,4.46,,,,,
May,,,,,,,,,,2.01,1.91,3.35,4.7,1.97,1.03,1.16,,,,,
June,,,,,,,,,,2.07,1.16,2.99,1.14,1.45,0.94,4.16,,,,,
July,,,,,,,,,,1.38,2.04,4.17,2.3,2.78,1.02,0.79,,,,,
August,,,,,,,,,,3.35,3.45,4.76,1.41,0.97,3.97,1.67,,,,,
September,,,,,,,,,,0.35,3.43,1.62,4.61,1.91,2.42,4.01,,,,,
October,,,,,,,,,,4.89,3.04,0.56,5.72,2.86,2.57,4.53,,,,,
November,,,,,,,,,,7.85,3.54,3.67,2.82,0.72,1.19,5.92,,,,,
December,,,,,,,,,,5.95,3.86,1.46,1.67,0.85,5.92,3.98,,,,,
Total,,,,,,,,,,31.78,31.56,30.05,30.4,22.96,25.88,34.9,,,,,
,,,,,,,,,,,,,,,,,,,,,
Wraxhill Corner Leigh Road,,,,,,,,,,,,,,,,,,,,,
House not found but assume it was near junction with Wraxhill Road,,,,,,,,,,,,,,,,,,,,,
1937 Station terminated owing to illness of observer,,,,,,,,,,,,,,,,,,,,,
