BLETCHINGLEY-BREWER-STREET,,,,,,,,,,
Grid ref,TQ325526,Long,-0.102566,Lat,51.257176,Elevation,410,ft,,
Station no,117/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.65,3.65,4.58,2.03,2.85,3.15,2.9
February,,,,2.55,1.8,0.6,3.95,2.05,0.01,2.05
March,,,,2.6,1.55,0.9,1.35,1.85,2.08,1.98
April,,,,0.35,0.37,1.83,0.2,1.22,2.15,0.8
May,,,,2.65,3.95,0.22,1.4,2.02,0.63,1.5
June,,,,4.85,1.8,3.05,1.3,4.23,2.2,1.45
July,,,,3.55,0.35,3.92,3.3,1.45,1.85,2.9
August,,,,2.95,1.43,2.8,2.45,3.58,0.67,2.75
September,,,,2.6,3,2.8,2.75,5.55,0.1,3.95
October,,,,2.6,4.8,1.36,1.75,3.6,2.75,7.1
November,,,,5.65,1.18,1,2.65,2.3,3.15,5.2
December,,,,2.05,2.95,3.5,2.43,3.33,5.18,3.25
Total,,,,34.05,26.83,26.56,25.56,34.03,23.92,35.83
,,,,,,,,,,
Gauge read monthly,,,,,,,,,,
1954 Record from old site No details as to where it was,,,,,,,,,,
1955 Jan Estimated,,,,,,,,,,
1955 Jan Inspection Recommended move to new site Turf wall recommended,,,,,,,,,,
1955 Apr 1 Presumed date of move to new location Unknown if turf wall erected,,,,,,,,,,
1956 Not printed Low,,,,,,,,,,
1957 Not printed Low,,,,,,,,,,
1958 Not printed Low,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Brewer Street P Sta SRC_ID 6505,,,,,,,,,,
1954-1988,,,,,,,,,,
