EAST-PRESTON-BAY-TREES,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ069023,Long,-0.4841001,Lat,50.810399,Elevation,25,ft,,,,,,,,,,,,,
Station no,RR6730,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,0.54,4.56,1.21,1.09,3.3,5.17,4.17,3.05,4.07,1.66,2.61,,,,,,
February,,,,,3.67,3.83,4.78,1.61,1.05,2.55,0.73,0.59,2.96,4.54,0.42,,,,,,
March,,,,,4.4,0.83,4.17,2.14,1.34,5.26,2.15,1.28,1.78,2.85,1.45,,,,,,
April,,,,2.3,2.11,1.37,0.77,1.81,2.3,2.11,2.89,1.16,3.67,3.82,2.57,,,,,,
May,,,,2.14,1.03,4,1.9,1.43,1.33,0.29,1.6,1.29,0.63,2.73,3.44,,,,,,
June,,,,1.35,1.13,0.48,2.47,3.24,0.7,0.7,1.07,0.01,1.52,0.48,3.35,,,,,,
July,,,,1.87,1.8,3.07,0.8,2.06,2.97,1.8,4.86,0.31,2.82,1.12,2.67,,,,,,
August,,,,4.36,1.51,2.33,1.66,5.07,3.13,3.22,1.19,1.6,2.74,1.82,2.73,,,,,,
September,,,,2.94,1.76,2.12,2.05,1.42,6.46,1.14,3.83,0.49,2.01,2.18,3.11,,,,,,
October,,,,4.72,2.57,3.37,5.07,3.96,1.41,0.48,2.25,1.06,0.83,5.98,4.5,,,,,,
November,,,,3.88,3.62,2.73,4.19,1.45,2.01,2.64,1.48,2.14,1.57,2.02,2.05,,,,,,
December,,,,1.9,8.56,7.98,4.6,2.03,2.41,5.41,3.28,2.02,2.99,2.94,4.15,,,,,,
Total,,,,,32.7,36.67,33.67,27.31,28.41,30.77,29.5,15,27.59,32.14,33.05,,,,,,
