"STEWARTSTOWN THE SQUARE",,,,,,,,,,,,
Grid ref,IH8560070600,Long,-6.676870,Lat,54.576576,,,,,,,
Station no,RR1694,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.59,3.15,2.43,6.64,3.53,2.39,3.54,1.90,,,,
February,3.30,1.14,1.99,1.75,3.80,2.02,2.78,2.95,,,,
March,0.83,2.91,2.17,4.52,2.33,4.10,2.70,3.84,,,,
April,3.02,3.07,2.77,1.32,2.65,2.01,2.46,,,,,
May,3.04,1.93,4.55,3.06,2.51,1.96,4.87,,,,,
June,5.25,2.63,2.26,1.64,1.40,2.85,1.30,,,,,
July,3.81,1.12,3.53,4.63,4.35,2.22,2.96,,,,,
August,4.78,3.41,3.72,5.96,5.22,7.44,4.33,,,,,
September,2.32,3.64,2.83,3.79,4.83,2.03,1.43,,,,,
October,4.78,5.00,1.65,5.53,1.55,1.59,4.64,,,,,
November,5.67,3.67,3.25,2.37,3.15,3.50,2.69,,,,,
December,4.15,3.08,2.32,3.47,2.53,2.47,3.59,,,,,
Total,44.54,34.75,33.47,44.68,37.85,34.58,37.29,,,,,
Calc annual,44.54,34.75,33.47,44.68,37.85,34.58,37.29,8.69,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
