"SILSDEN BOLTON ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2922,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.77,4.97,3.18,2.38,2.44,,,,,,,
February,2.62,0.17,3.61,5.11,0.59,,,,,,,
March,2.58,2.02,2.63,1.83,0.91,,,,,,,
April,3.92,0.93,2.79,2.90,1.61,,,,,,,
May,3.57,1.48,1.46,3.07,4.01,,,,,,,
June,1.36,0.38,1.65,0.57,2.36,,,,,,,
July,4.86,1.94,4.25,2.93,2.96,,,,,,,
August,1.29,4.65,4.21,3.60,3.55,,,,,,,
September,1.17,1.10,2.26,3.23,3.08,,,,,,,
October,2.19,1.87,0.99,4.91,2.72,,,,,,,
November,1.90,2.19,1.59,5.04,0.20,,,,,,,
December,2.60,4.35,2.76,2.68,3.54,,,,,,,
Total,31.83,26.05,31.38,38.25,29.82,,,,,,,
Calc annual,31.83,26.05,31.38,38.25,27.97,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,-0.00,0.00,-0.00,1.85,NaN,NaN,NaN,NaN,NaN,NaN,
