CANTERBURY-HARBLEDOWN-ROUGH-COMMON,,,,,,,,,,
Grid ref,TR121594,Long,1.0407912,Lat,51.294209,Elevation,250,ft,,
Station no,RR6460,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,3.47
February,,,,,,,,,,4.4
March,,,,,,,,,3.41,1.2
April,,,,,,,,,1.37,3.25
May,,,,,,,,,5.68,2.17
June,,,,,,,,,1.14,3.4
July,,,,,,,,,1.06,4.2
August,,,,,,,,,4.28,4
September,,,,,,,,,1.32,3.21
October,,,,,,,,,4.5,1.26
November,,,,,,,,,6.77,1.6
December,,,,,,,,,2.87,1.45
Total,,,,,,,,,,33.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
