CANTERBURY-HARBLEDOWN-ROUGH-COMMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR125591,Long,1.0463413,Lat,51.291366,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.86,2.53,1.66,2.37,1.67,3.01,1.27,2.32,2.25,2.09,1.62,2.28,1.76,4.03,4.93,3.35,4.71,2.05,2.7,2.47,4.59,,,,,,,
February,,,,2.58,0.65,3.92,2.94,3.91,0.99,0.51,1.12,2.66,0.62,1.33,0.37,3.16,2.06,4.05,1.19,1.37,1.77,2.49,0.81,1.37,,,,,,,
March,,,,1.96,1.18,1.09,0.21,2.35,1.82,0.18,1.72,0.13,1.4,2.2,2.91,0.25,0.56,5.18,0.71,2.11,3.24,1.99,2.54,0.34,,,,,,,
April,,,,2.02,3.01,2.52,4.23,1.73,2.67,1.6,1.49,3.93,2.42,0.86,2.79,2.88,1.09,2.2,0.77,2.52,1.14,1.54,1.55,1.41,,,,,,,
May,,,,3.34,2.63,2.38,1.25,0.73,2.94,1.25,4.14,2.74,2.76,1.37,0.96,2.17,0.29,3.47,2.4,2.11,1.45,1.43,3.25,2.82,,,,,,,
June,,,,0.75,1.22,0.83,2.94,3.53,2.23,1.53,0.91,0.59,0.79,3.08,0.92,2.29,2.9,1.21,1.24,1.75,1.3,1.58,0.21,1.1,,,,,,,
July,,,,0.86,2.67,2.93,1.46,5.08,0.91,1.2,3,3.37,3.17,1.25,1.29,0.41,4.78,0.95,2.07,1.12,3.08,4.1,2.88,2.56,,,,,,,
August,,,,2.25,2.36,1.44,1.9,3.25,1.96,2.93,2.86,2.86,1.49,0.88,1.64,2.54,1.04,1.01,2.55,1.66,0,3.6,1.77,1.07,,,,,,,
September,,,,1.22,2.36,1.94,0.71,3.65,0.81,0.46,4.71,2.01,2.73,4.42,1.63,3.39,2.92,3.09,3.23,1.43,2.13,0.39,2.2,1.78,,,,,,,
October,,,,5.49,3.57,3.27,3.9,1.91,4.78,3.42,2.42,0.45,6.87,1.62,2.11,3.93,2.78,3.72,3.66,11.4,4.04,1.57,3.49,2.17,,,,,,,
November,,,,2.09,2.85,3.02,6.1,3.46,4.44,4.99,4.78,3.84,1.34,1.4,4.09,4.7,4.33,1.3,3.1,4.31,7.28,3.71,2.71,2.27,,,,,,,
December,,,,2.63,3.88,3.15,0.91,4.54,3.59,6.47,2.14,0.58,0.57,0.47,4.88,3.52,2.8,5.45,2.73,1.61,1.61,2.11,2.68,1.77,,,,,,,
Total,,,,27.05,28.91,28.15,28.92,35.81,30.15,25.81,31.61,25.41,26.25,20.5,25.87,31,29.58,36.56,27,36.1,29.09,27.21,26.56,23.25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
