FAREHAM-WEST-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU580063,Long,-1.177414,Lat,50.853316,Elevation,41,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,686/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.9,5.05,6.25,4.06,5.02,3.22,3.6,3.8,6.61,1.94,1.85,2.63,3,4.96,0.78,0.89,3.78,2.43,1.29,1.92,3.37,5.15,2.67,4.78,,
February,,,,,3.33,2.62,5.16,0.49,1.13,3.82,3,0.44,1.36,0.78,1.93,3.1,2.21,1.34,1.14,4.59,5.86,0.65,1.33,3.31,1.72,0.1,3.99,2.81,,
March,,,,,0.9,2.15,3.91,0.47,1.32,3.37,3.81,2.96,0.7,0.2,0.74,1.09,6.56,0.73,1.77,1.43,4.3,2.75,0.55,3.37,1.17,0.41,2.08,1.28,,
April,,,,,3.37,2.42,2.74,0.05,2.35,0.99,1.42,1.44,1,1.57,1.21,2.25,1.88,1.77,1.81,2.14,2.87,1.51,1.33,0.42,0.5,2,0.14,0.76,,
May,,,,,1.57,0.19,2.77,1.4,1.16,0.88,2.43,2.88,2.4,0.68,2.4,3.91,1.26,2.55,2.05,1.25,2.3,2.26,,2.28,4.46,0.32,1.12,2.44,,
June,,,,,3.02,3.22,1.61,0.64,2.24,0.25,1.28,0.51,1.61,1.78,2.36,3.84,1.83,2.56,1.02,1.55,1.59,1.46,2.66,3.76,2.95,2.27,1.08,2.51,,
July,,,,,1.82,3.65,1.31,2.21,3.71,3.2,3.06,1.69,3.02,3.21,3.38,1.47,1.17,1.19,0.55,4.13,3.08,0.37,3.32,3.43,1.59,2.03,4.23,1.87,,
August,,,,,3.72,0.42,1.95,3.06,1.88,0.04,5.06,3.84,1.47,1.24,1.96,4.95,0.8,3.78,1.34,3.49,5.27,2.51,1.88,4.44,1.01,3.5,2.49,4.37,,
September,,,,,4.76,3.57,1.78,1.85,1,1.76,1.23,2.53,1.64,1.78,2.17,3.77,1.28,1.26,2.65,3.5,3.42,4.56,2.89,3.12,2.26,3.51,3.15,4.45,,
October,,,,,4.74,1.09,3.5,3.7,7.02,4.35,1.13,3.77,3.85,4.07,3.77,0.91,1.33,2.47,9.56,0.61,1.51,4.21,3.59,2.85,4.24,1.65,2.02,3.16,,
November,,,,,8.01,4.13,2.33,4.15,5.96,8.43,2.77,1.48,1.56,5.28,0.8,4.78,1.73,1.54,3.28,5.81,8.32,4.42,1.8,5.41,2.78,0.78,3.53,3.07,,
December,,,,8.94,3.57,2.61,5.7,3,1.79,2.62,1.85,3.69,2.37,2.62,4.59,3.49,3.49,4.4,1.93,2.57,3.31,2.74,0.74,3.1,4.04,5.41,2.45,3.98,,
Total,,,,,39.71,31.12,39.01,25.08,34.58,32.93,30.64,29.03,27.59,25.15,27.16,36.19,26.54,28.55,27.88,31.96,45.61,29.87,,37.41,30.09,27.13,28.95,35.48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Mar 4th Inspection Gauge sound Site slightly o/s but probably reasonable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
