"FAREHAM (WEST STREET)",,,,,,,,,,,,
Grid ref,SU580063,Long,-1.177414,Lat,50.853316,,,,,,,
Station no,686/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.78,2.43,1.29,1.92,3.37,5.15,2.67,4.78,,,,
February,5.86,0.65,1.33,3.31,1.72,0.10,3.99,2.81,,,,
March,4.30,2.75,0.55,3.37,1.17,0.41,2.08,1.28,,,,
April,2.87,1.51,1.33,0.42,0.50,2.00,0.14,0.76,,,,
May,2.30,2.26,,2.28,4.46,0.32,1.12,2.44,,,,
June,1.59,1.46,2.66,3.76,2.95,2.27,1.08,2.51,,,,
July,3.08,0.37,3.32,3.43,1.59,2.03,4.23,1.87,,,,
August,5.27,2.51,1.88,4.44,1.01,3.50,2.49,4.37,,,,
September,3.42,4.56,2.89,3.12,2.26,3.51,3.15,4.45,,,,
October,1.51,4.21,3.59,2.85,4.24,1.65,2.02,3.16,,,,
November,8.32,4.42,1.80,5.41,2.78,0.78,3.53,3.07,,,,
December,3.31,2.74,0.74,3.10,4.04,5.41,2.45,3.98,,,,
Total,45.61,29.87,,37.41,30.09,27.13,28.95,35.48,,,,
Calc annual,45.61,29.87,21.38,37.41,30.09,27.13,28.95,35.48,0.00,0.00,,
Difference,0.00,0.00,NaN,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
