"MAIDSTONE BOROUGH SURVEYORS OFFICE, MILL STREET (68)",,,,,,,,,,,,
Grid ref,TQ7575055743,Long,0.518217,Lat,51.273731,,,,,,,
Station no,359/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.72,0.84,0.91,2.20,3.83,1.03,3.56,1.30,1.34,0.82,,
February,4.67,1.63,1.33,1.16,2.96,1.04,1.80,1.61,1.22,0.88,,
March,0.94,2.62,1.34,2.36,1.86,2.64,2.07,0.81,2.00,3.77,,
April,1.06,2.15,0.38,2.42,0.94,2.87,1.06,2.79,2.29,1.46,,
May,1.06,1.25,2.69,3.26,1.76,1.25,1.69,2.15,1.40,1.27,,
June,3.07,0.86,2.50,5.51,1.13,4.42,2.75,1.86,1.18,2.25,,
July,1.53,2.27,1.67,6.25,2.40,1.19,0.48,0.82,3.16,3.90,,
August,2.06,2.82,3.55,2.84,1.59,2.13,0.69,1.75,3.78,2.10,,
September,0.75,1.19,2.49,2.09,1.25,1.97,1.80,0.48,0.90,3.35,,
October,2.01,2.60,2.04,5.83,2.11,1.54,3.93,4.05,1.80,6.67,,
November,2.56,0.82,1.91,2.10,1.52,3.88,5.34,1.90,1.02,1.15,,
December,2.80,4.32,2.08,1.54,3.23,0.69,2.07,2.43,2.28,3.64,,
Total,26.23,23.37,22.89,37.56,24.58,24.65,27.24,21.95,22.37,31.26,,
Calc annual,26.23,23.37,22.89,37.56,24.58,24.65,27.24,21.95,22.37,31.26,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
