EXMOUTH-DOUGLAS-AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY012803,Long,-3.39781,Lat,50.61462,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,0.81,3.89,6,0.48,2.49,0.8,0.93,3.77,4.72,4.34,2.74,4.24,1.23,3.75,4.85,3.9,3.57,4.18,1.87,4.98,2.57,2.99,,,,,,,,
February,,1.22,3.33,1.07,2.89,4.13,5.46,0.93,1.1,5.3,0.54,0.27,2.62,5.75,1.55,4.41,2.32,2.86,2.48,1.79,1.28,1.82,0.01,,,,,,,,
March,,2.27,4.09,3.25,4.31,0.66,3.99,4.22,1.12,4.01,3,1.81,3.22,1.33,1.42,0.28,0.39,2.99,3.2,0.1,2.36,1.79,2.31,,,,,,,,
April,,1.26,0.09,3.08,1.16,0.71,0.36,1.33,1.76,1.64,2.4,0.78,2.96,2.42,2.79,2.3,2.52,1.78,1.35,0.8,2.92,2.83,2.01,,,,,,,,
May,,0.58,1.42,2.69,1.69,2.29,1.95,1.91,1.08,0.81,1.29,1.33,0.51,1.51,3.89,4.49,0.66,0.36,1.03,2.55,1.42,2.7,3.64,,,,,,,,
June,,2.31,4.87,0.31,1.38,1.72,1.59,1.96,0.82,0.92,2.19,0.35,0.47,0.23,2.47,0.18,3.11,1.99,1.55,2.03,0.2,3.48,2.82,,,,,,,,
July,,0.78,1.93,0.68,3.84,3.08,0.76,2.28,4.03,1.86,2.93,0.27,3.13,0.54,3.92,2.13,0.97,3.37,1.25,1.56,1.44,3.78,2.27,,,,,,,,
August,,0.39,6.03,0.98,1.88,1.59,3.95,4.37,1.99,2.75,0.78,1.93,2.86,1.54,2.23,1.39,0.88,2.12,1.75,1.55,2.87,3.81,1.85,,,,,,,,
September,,1.22,1.01,2.56,2.37,0.94,3.47,1.49,5.23,1.62,1.02,0.63,2.56,2.11,3.7,3.42,1.04,4.91,1.81,0.31,4.11,1.13,4.18,,,,,,,,
October,,3.44,4.2,3.75,2.49,5.43,5.32,2.78,1.57,1.19,2.24,1.09,1.3,4.37,5.17,3.02,2.52,1.84,4.1,4.45,2.84,0.27,5.56,,,,,,,,
November,,3.63,1.49,3.27,3.71,2.31,4.2,1.54,2.52,2.29,1.98,2.63,1.69,,3.64,3.02,8.07,2.2,3.41,8.81,5.6,5.13,2.21,,,,,,,,
December,5.59,8.3,4.52,2.22,8.18,7.09,4.21,1.15,3.32,4.31,3.93,1.26,4.93,2,4.06,4.78,0.43,3.9,2.5,7.89,3.72,1.63,2.41,,,,,,,,
Total,,26.21,36.87,29.86,34.38,32.44,36.06,24.89,28.31,31.42,26.64,15.09,30.49,,38.59,34.27,26.81,31.89,28.61,33.71,33.74,30.94,32.26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Nov Part estimated from nearby station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
