"GLENLEVEN (LOCH EILDE MHOR)",,,,,,,,,,,,
Grid ref,NN217633,Long,-4.915823,Lat,56.727193,,,,,,,
Station no,5748,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.12,6.48,7.31,6.16,5.96,4.97,12.77,10.19,4.02,7.73,,
February,5.00,4.25,6.23,4.99,4.58,5.32,5.96,5.92,6.25,8.56,,
March,2.37,7.50,3.66,7.65,1.54,3.89,9.41,3.06,5.87,1.98,,
April,6.47,2.44,5.04,4.00,5.59,4.25,3.59,5.16,8.87,9.46,,
May,0.63,3.11,6.65,5.39,5.36,8.01,2.93,8.36,3.21,4.67,,
June,3.38,5.30,2.20,7.87,6.33,4.93,3.89,3.04,6.53,5.94,,
July,6.52,4.84,12.27,5.47,1.22,8.05,9.56,4.17,9.29,4.86,,
August,7.10,4.37,8.16,8.03,2.72,7.27,9.85,8.52,8.41,8.54,,
September,6.03,3.54,11.71,12.26,10.26,10.37,6.94,6.93,4.10,5.19,,
October,3.27,9.03,8.15,13.35,10.93,9.78,14.32,11.23,14.67,3.57,,
November,6.84,2.96,14.00,13.45,5.92,10.19,4.72,3.04,11.40,8.27,,
December,9.15,7.10,10.76,15.52,14.82,17.27,11.51,6.39,12.03,10.17,,
Total,62.88,60.92,96.14,104.14,75.23,94.30,95.45,76.01,94.65,78.94,,
Calc annual,62.88,60.92,96.14,104.14,75.23,94.30,95.45,76.01,94.65,78.94,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
