CHAPEL ON LEADER (EARLSTON),,,,,,,,,,,,
Grid ref,NT561415,Long,-2.699413,Lat,55.665016,,,,,,,
Station no,RR7165,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.12,1.35,3.09,2.61,,
February,,,,,,,1.26,1.67,2.08,1.91,,
March,,,,,,,1.96,2.05,5.54,5.57,,
April,,,,,,,1.36,2.13,1.45,3.68,,
May,,,,,,,5.31,3.57,2.63,2.23,,
June,,,,,,,2.09,4.07,1.49,1.63,,
July,,,,,,,1.93,2.95,2.35,2.85,,
August,,,,,,,5.70,3.69,2.37,1.90,,
September,,,,,,,0.82,0.83,2.43,2.57,,
October,,,,,,,6.20,5.86,2.17,4.26,,
November,,,,,,,3.45,2.31,1.78,0.68,,
December,,,,,,,1.70,3.86,1.00,3.20,,
Total,,,,,,,33.90,34.34,28.38,33.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,33.90,34.34,28.38,33.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,,
