CHAPEL ON LEADER (EARLSTON),,,,,,,,,,,,,,,,,,,,
Grid ref,NT561415,Long,-2.699413,Lat,55.665016,Elevation,480,ft,,,,,,,,,,,,
Station no,RR7165,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,2.12,1.35,3.09,2.61,3.44,,,,,,,,,
February,,,,,,,1.26,1.67,2.08,1.91,2.52,,,,,,,,,
March,,,,,,,1.96,2.05,5.54,5.57,1.17,,,,,,,,,
April,,,,,,,1.36,2.13,1.45,3.68,3.3,,,,,,,,,
May,,,,,,,5.31,3.57,2.63,2.23,1.92,,,,,,,,,
June,,,,,,,2.09,4.07,1.49,1.63,0.95,,,,,,,,,
July,,,,,,,1.93,2.95,2.35,2.85,4.78,,,,,,,,,
August,,,,,,,5.7,3.69,2.37,1.9,5.53,,,,,,,,,
September,,,,,,,0.82,0.83,2.43,2.57,0.7,,,,,,,,,
October,,,,,,,6.2,5.86,2.17,4.26,2.83,,,,,,,,,
November,,,,,,,3.45,2.31,1.78,0.68,3.6,,,,,,,,,
December,,,,,,,1.7,3.86,1,3.2,2.26,,,,,,,,,
Total,,,,,,,33.9,34.34,28.38,33.09,33,,,,,,,,,
