SOUTHWICK-WATLING-ROAD (PORTSLADE-CHAMONIX),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ260046,Long,-0.21234831,Lat,50.827236,Elevation,10,ft,,,,,,,,,,,,
Station no,477/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,6.2,2.5,2.46,,,,,,,,,
February,,,,,,,,,1.33,2.8,4.34,,,,,,,,,
March,,,,,,,,,1.04,2.71,2.53,,,,,,,,,
April,,,,,,,,,2.88,1.28,1.63,,,,,,,,,
May,,,,,,,,,0.99,2.07,1.59,,,,,,,,,
June,,,,,,,,,1.07,0.35,2.22,,,,,,,,,
July,,,,,,,,,3.68,2.22,2.2,,,,,,,,,
August,,,,,,,,,2.02,0.07,3.27,,,,,,,,,
September,,,,,,,,,0.69,1.96,0.26,,,,,,,,,
October,,,,,,,,,6.06,3.21,0.71,,,,,,,,,
November,,,,,,,,,6.82,8.12,3.91,,,,,,,,,
December,,,,,,,,,1.56,2.06,1.97,,,,,,,,,
Total,,,,,,,,,34.34,29.35,27.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location by distance and direction from church / station,,,,,,,,,,,,,,,,,,,,
