"DAVENTRY TUNNEL END",,,,,,,,,,,,
Grid ref,SP576651,Long,-1.157109,Lat,52.281035,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.76,0.85,4.01,0.94,0.88,1.20,,
February,,,,1.04,3.49,0.73,2.34,1.33,1.08,0.54,,
March,,,,3.03,1.51,2.97,1.17,1.07,3.27,2.95,,
April,,,,1.93,0.76,1.64,0.38,2.22,4.32,1.94,,
May,,,,2.70,1.71,0.45,1.55,4.73,1.99,1.41,,
June,,,,3.00,0.68,3.23,4.80,2.35,1.31,3.99,,
July,,,,2.58,3.75,0.46,0.46,2.58,2.57,2.67,,
August,,,,2.93,2.14,3.49,1.19,2.62,3.49,2.55,,
September,,,,1.89,2.21,1.79,1.26,0.80,1.99,2.61,,
October,,,,5.69,0.71,0.97,4.72,4.40,1.33,3.51,,
November,,,,1.77,1.23,2.73,3.22,1.89,1.08,0.48,,
December,,,,1.23,1.44,0.87,2.17,3.57,1.89,3.77,,
Total,,,,,22.39,20.18,27.27,28.50,25.20,27.62,,
Calc annual,0.00,0.00,0.00,27.79,23.39,20.18,27.27,28.50,25.20,27.62,,
Difference,NaN,NaN,NaN,NaN,-1.00,-0.00,0.00,0.00,-0.00,0.00,,
