HEREFORD BREINTON COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO470396,Long,-2.774321,Lat,52.052239,Elevation,238,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.66,2.02,2.58,4.39,0.22,1.93,0.26,4.04,2.94,1.66,0.82,2.93,2.59,0.87,3.89,1.28,0.62,0.74,2.29,0.64,3.8,3.53,0.44,1.97,0.55,0.96,2.61,2.28,2.82,2.29,3.17,0.97,3.53,1.88,3.75,2.69,3.06,0.92,4.9,2.19,2.75,1.47,2.17,0.56,4.29,3.13,2.05,5.04,3.4,5.1,2.68,5.5,1.93,1.34,2.27,2.37,4.14,0.96,0.49,2.24,1.9,0.62,2.48,2.84,3.96,1.33,1.71,4.4,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.3,2.67,2.17,0.07,0.19,2.06,1.3,3.68,4.69,0.82,1.38,2.06,4.47,0.75,1.53,0.78,0.65,0.32,3.3,0.99,1.48,1.12,2,3.85,3.51,0.96,0.68,2.78,0.76,0.16,2.71,5.48,0.28,4.01,1.67,2.44,1.78,0.97,0.58,1.53,0.07,2.83,0.33,1.69,2.31,3.95,0.36,0.94,2.86,2.96,0.31,1.01,0.75,1.49,1.8,1.55,1.11,1.02,4.63,3.32,0.42,1.38,2.15,1.35,0.46,2.83,4.06,0.25,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,0.68,0.49,1.62,1.86,2.25,3.5,0.71,0.64,1.36,2.31,1.06,4.21,1.39,3.25,0.98,0.45,2.89,2.31,0.45,1.66,3.73,4.52,1.93,0.52,4.09,3.06,1.34,4.61,3.03,1.36,2.24,0.96,1.21,0.56,0.36,2.43,2.6,0.09,2.41,0.55,1.97,1.78,1.56,0.51,2.38,3.01,0.06,1.2,1.41,2.55,2.72,1.16,0.34,0.62,0.93,5.78,0.52,1.34,1.16,3.66,1.68,0.95,2.21,2.17,0.94,1.66,1.31,2.83,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.9,0.15,1.99,2.24,0.74,1.75,1.9,2.23,0.6,2.64,2.05,1.96,0.94,2.81,1.11,2.12,2.71,1.65,2.08,0.68,0.18,3.85,0.99,0.82,0.73,0.89,1.8,1.04,3.98,0.57,1.85,2.05,1.69,1.49,2.21,1.04,1.22,0.96,3.22,2.32,3.19,1.1,2.28,3.84,1.98,1.73,0.12,2,3.38,1.35,1.17,0.87,1.2,0.83,2.23,2.25,2.4,2.06,1.64,2.15,1.89,2.4,0.15,0.72,2.89,0.14,0.33,2.98,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.67,2.31,2.98,0.56,0.16,1.08,4.29,1.64,2.47,0.69,2.05,4.06,1.85,0.52,1.86,2.8,2,0.69,1.93,1.04,2.13,2.07,1.67,3.73,3.38,3.2,2.06,0.24,1.84,1.17,0.66,1.17,4.36,3.29,2.18,0.94,0.76,1.94,1.4,3.92,4.49,2.25,1.07,0.59,0.78,2.74,1.9,0.76,2.14,2.22,3.23,3.23,0.5,2.74,3.82,2.42,3.67,3.1,1.47,3.94,3.24,1.53,2.01,4.91,0.54,1.63,2.23,1.99,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.56,0.91,2.06,0.63,1.75,3.13,0.96,2.03,1.23,2.2,2.28,2.57,0.78,3.27,2.27,1.85,0.67,1.91,4.18,1.79,3.57,0.63,2.42,0.67,0.82,2.55,0.55,0.61,3.16,0.15,0.73,0.4,1.85,0,1.21,2.64,3.06,2.42,0.95,4.49,1.12,1.92,0.95,2.95,3.94,0.66,1.39,1.66,0.96,2.3,0.85,2.04,1.51,2.94,1.74,1.63,1.95,0.37,1.46,0.98,1.85,1.49,3.63,4.2,3.43,1.11,3.69,1.59,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,3.05,2.29,2.73,2.38,0.9,1.17,0.94,0.66,2.48,3.09,1.04,2.55,2.06,0.92,0.31,2.85,1.29,2.36,1.73,0.37,3.19,0.64,3.67,3.86,1.88,1.79,2.66,2.06,3.88,0.53,3.11,2.37,3.97,2.08,2.3,3.93,1.69,1.72,2.57,3.39,2.4,0.68,1.2,0.35,4.47,2.59,2.52,4.04,2.72,2.37,1.24,1.22,1.78,3.75,1.72,2.18,0.73,1.05,2.84,0.9,1.3,2.24,1.82,1.58,5.51,2.59,3.8,1.47,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.26,1.28,2.81,1.76,1.34,4.01,1.16,0.61,3.01,2.38,3.01,4.23,2.28,4.35,1.16,1.27,2.65,1.26,4.09,3.24,6.69,1.37,0.93,2.71,1.86,5.64,1.5,2.29,0.78,2.36,2.47,1.22,2.22,4.03,1.78,4.32,1.75,1.08,3,4.74,2.33,0.45,1.86,1.31,0.18,2.03,2.67,1.77,0.33,2.49,3.08,2.29,2.51,4.67,5.96,1.02,3.75,1.22,3.85,3,7.09,3.32,3.24,0.99,3.63,4.96,1.82,0.65,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.33,0.98,2.98,1.26,5,2.27,0.68,2.82,0.6,1.49,2.63,2.77,2.08,1.16,0.68,0.56,2.25,2.78,0.55,1.34,0.71,2.8,0.76,1.07,0.62,2.14,7.48,1.47,1.85,1.23,1.3,1.48,4.88,2.99,0.88,4.24,0.88,1.16,4.06,1.87,2.57,1.36,1.2,3.3,2.52,1.65,1.78,0.82,1.72,0.9,1.43,2.77,2.47,1.68,3.85,1.21,3.23,3.08,3.31,2.07,2.21,3.16,1.69,0.86,2.96,4.33,6.19,0.22,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.22,1.38,3.29,2.33,2.48,1.84,4.14,2.93,2.8,1.33,2.92,6.23,0.58,1.58,4.29,7.69,2.11,2.54,3.35,1.63,2.99,4.34,2,4.01,4.13,2.53,0.94,1.63,3.4,1.17,0.35,4.42,3.67,2.84,2.72,2.08,4.31,4.19,3.86,0.74,3.73,4.68,0.95,2.54,1.47,3.75,2.21,2.74,3.89,1.83,2,2.49,4.25,3.63,1.15,0.61,2.48,5.45,1.21,0.81,3.76,2.32,3.01,1.59,1.37,1.06,2.96,2.41,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
