CLAYGATE-CLAYGATE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ154637,Long,-0.34352,Lat,51.36065,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,140/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.89,2.34,4.29,0.95,2.41,2.44,4.88,1.32,1.58,-999,1.17,3.3,1.02,0.83,,,,,,,,,,
February,,,,,,1.93,4.25,0.38,1.13,2.53,2.1,1.22,1.43,0.93,1.63,-999,-999,0.97,0.91,1.64,,,,,,,,,,
March,,,,,,1.12,2.91,0.31,0.93,3,3.4,1.15,0.35,0,0.6,1.54,-999,0.68,0.98,0.48,,,,,,,,,,
April,,,,,,2.23,2.55,0.09,2.45,2.05,1.44,1.29,0.82,1.41,1.32,2.65,1.41,1.03,2,0.78,,,,,,,,,,
May,,,,,,0.7,1.94,1.5,1.69,1.34,1.99,2.76,1.97,0.78,2.45,3.29,1.38,1.59,2.47,0.32,,,,,,,,,,
June,,,,,,2.44,2.02,0.65,1.33,0.67,2.38,0.81,1.32,1.55,1.01,2.69,2.6,2.12,0.91,0.96,,,,,,,,,,
July,,,,,,3.11,1.05,1.28,2.39,2.38,2.99,2.12,1.84,1.58,3.98,1.51,1.02,1.86,1.44,1.9,,,,,,,,,,
August,,,,,,1.22,1.26,3.32,2.57,0.09,5.2,2.08,0.81,2.57,1.17,4.22,0.42,3.26,1.39,1.07,,,,,,,,,,
September,,,,,,2.48,1.89,2.13,1.15,0.71,0.34,0.73,1.28,2.32,1.51,3.65,1.87,0.97,0.48,0.8,,,,,,,,,,
October,,,,,,2.26,2.64,2.31,5.28,1.61,0.81,4.05,2.91,3.04,2.37,1.3,0.18,2.23,5.37,1.25,,,,,,,,,,
November,,,,,,3.2,1.53,4,4.51,7.13,,1.7,1.22,3.55,0.73,3.28,0.72,1.46,2.3,2.11,,,,,,,,,,
December,,,,,,1.97,4.85,3.04,0.9,1.26,,3,2.06,1.61,3.25,2.73,2.18,3.15,1.31,1.06,,,,,,,,,,
Total,,,,,,,31.78,21.35,28.62,23.72,,23.35,20.89,20.66,21.6,30.42,18.57,22.62,20.58,13.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Jan Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Nov Dec Amended by ref surrounding stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Jan Feb Apportioned Combined total 3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb Mar Apportioned Combined value 5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Not printed Very low - deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
