GLEN SHIRA DRIMLEE,,,,,,,,,,,,
Grid ref,NN144162,Long,-5.001340,Lat,56.301791,,,,,,,
Station no,RR8447,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,11.76,11.87,,
February,,,,,,,,,8.10,5.62,,
March,,,,,,,,,8.45,1.32,,
April,,,,,,,,,2.35,6.04,,
May,,,,,,,,,4.03,5.66,,
June,,,,,,,,,4.46,1.82,,
July,,,,,,,,,7.14,9.29,,
August,,,,,,,,,8.04,5.30,,
September,,,,,,,,,12.45,3.63,,
October,,,,,,,,,1.79,10.55,,
November,,,,,,,,,8.42,7.51,,
December,,,,,,,,11.02,9.70,11.00,,
Total,,,,,,,,,86.69,79.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.02,86.69,79.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
