GLEN SHIRA DRIMLEE,,,,,,,,,,,,,,,,,,,,
Grid ref,NN144162,Long,-5.00134,Lat,56.301791,Elevation,400,ft,,,,,,,,,,,,
Station no,RR8447,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,11.76,11.87,10.91,7.9,7.26,,8.68,8.86,15.65,4.42,8.11,7.05
February,,,,,,,,,8.1,5.62,10.16,13.45,5.88,,12.06,10.9,8.08,1.06,9.11,2
March,,,,,,,,,8.45,1.32,5.34,3.6,8.7,,7.96,5.19,2,5.25,3.08,4.74
April,,,,,,,,,2.35,6.04,7.75,8.68,5.67,,7.05,6.5,6.26,3.01,1.81,8.9
May,,,,,,,,,4.03,5.66,4.43,5.32,2.84,,4.04,-999,6.8,3.05,4.21,1.69
June,,,,,,,,,4.46,1.82,2.01,4.87,5.45,,4.66,-999,2.73,4.32,4.5,7.72
July,,,,,,,,,7.14,9.29,6.42,7.04,4.04,,2.72,6.65,3.07,2.96,2.81,1.63
August,,,,,,,,,8.04,5.3,10.35,8.14,4.13,,8.33,3.05,3.89,8.66,9.06,7.73
September,,,,,,,,,12.45,3.63,4.08,4.86,6.28,,6.18,3.03,3.87,7.85,17.32,9.16
October,,,,,,,,,1.79,10.55,4.24,5.68,11.94,,2.64,3.13,8.39,17.93,11.79,3.42
November,,,,,,,,,8.42,7.51,5.22,10.9,9.48,,10.81,2.3,11,15.8,13.45,7.5
December,,,,,,,,11.02,9.7,11,10.47,14.05,10.6,,14.44,8.91,9.42,11.78,9.83,11.58
Total,,,,,,,,,86.69,79.61,81.38,94.49,82.27,,89.57,61.23,81.16,86.09,95.08,73.12
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1908 P,,,,,,,,,,,,,,,,,,,,
BR 1915 May Jun Bracketed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8447,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
