HORNCASTLE - HEMINGBY RECTORY,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF238744,Long,-0.146,Lat,53.252,Elevation,158,ft,,,,,,,,,,,,,,,
Station no,RR1797,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903
January,0.92,1.94,2.58,2.58,2.20,3.30,2.07,0.98,1.44,2.54,1.63,1.04,2.03,2.08,4.12,1.21,2.56,1.12,2.51,3.43,0.86,0.61,1.66
February,3.72,1.51,3.33,1.90,2.38,0.42,0.51,1.65,2.27,1.37,0.11,1.92,3.65,1.29,0.43,0.80,3.29,1.14,1.35,3.82,1.86,1.15,0.43
March,1.40,1.50,1.54,1.75,1.21,2.33,1.66,2.56,2.64,1.50,1.57,1.67,0.26,0.74,2.13,2.33,2.66,2.29,1.11,0.28,2.08,1.55,3.50
April,1.27,3.45,1.87,1.33,1.59,1.31,1.23,2.10,2.86,0.29,1.47,1.25,0.19,1.67,1.66,0.91,1.31,2.62,2.40,1.31,1.53,1.94,1.61
May,1.32,1.95,2.46,1.08,1.73,2.93,1.80,0.97,4.31,1.93,2.59,2.78,1.01,1.23,0.91,0.58,1.20,2.44,3.26,1.85,1.15,2.97,2.22
June,2.70,4.19,6.23,0.41,2.11,0.65,0.08,1.79,0.46,2.61,2.16,4.32,1.59,2.79,1.23,1.07,1.94,2.04,1.86,2.43,1.88,3.28,1.12
July,2.63,2.24,3.10,3.32,1.07,2.32,1.17,5.41,2.08,2.57,3.07,2.69,3.78,3.94,3.85,1.74,0.88,0.73,1.34,1.71,1.89,1.48,2.60
August,4.79,3.99,1.41,2.03,2.06,1.69,1.71,2.40,4.24,1.94,3.90,1.88,1.21,2.98,2.55,1.95,3.71,2.48,0.83,4.68,2.41,3.54,4.53
September,2.69,2.48,7.27,1.28,4.20,1.16,2.13,1.74,2.67,0.59,0.95,2.50,1.50,0.88,0.26,4.83,2.71,0.38,2.63,0.98,1.17,0.69,3.49
October,2.39,5.30,3.49,1.78,5.86,5.46,2.48,0.67,4.59,1.57,4.53,5.80,1.70,3.22,2.75,5.32,0.70,3.07,3.08,2.52,2.51,2.42,6.26
November,2.80,3.49,3.66,2.00,2.53,2.50,2.58,3.38,0.78,3.68,3.35,1.27,2.87,2.28,2.60,1.38,1.92,1.91,1.42,2.51,2.54,1.65,1.86
December,2.62,4.89,1.72,2.55,1.01,3.04,1.51,1.53,1.66,0.82,3.24,1.06,1.89,2.41,1.87,4.17,1.76,2.26,2.30,3.94,6.46,1.50,0.96
Total,29.25,36.93,38.66,22.01,27.95,27.11,18.93,25.18,30.00,21.41,28.57,28.18,21.68,25.51,24.36,26.29,24.64,22.48,24.09,29.46,26.34,22.78,30.24
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/049,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/176,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/119,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# The December 1886 figure is bracketed on the sheet as the record for 27th was lost due to frost damage. The December reading has been retained.,,,,,,,,,,,,,,,,,,,,,,,
