"HORNCASTLE HEMINGBY",,,,,,,,,,,,
Grid ref,TF237744,Long,-0.147368,Lat,53.252203,,,,,,,
Station no,RR1797,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.43,0.86,0.61,1.66,,,,,,,,
February,3.82,1.86,1.15,0.43,,,,,,,,
March,0.28,2.08,1.55,3.50,,,,,,,,
April,1.31,1.53,1.94,1.61,,,,,,,,
May,1.85,1.15,2.97,2.22,,,,,,,,
June,2.43,1.88,3.28,1.12,,,,,,,,
July,1.71,1.89,1.48,2.60,,,,,,,,
August,4.68,2.41,3.54,4.53,,,,,,,,
September,0.98,1.17,0.69,3.49,,,,,,,,
October,2.52,2.51,2.42,6.26,,,,,,,,
November,2.51,2.54,1.65,1.86,,,,,,,,
December,3.94,6.46,1.50,0.96,,,,,,,,
Total,29.46,26.34,22.78,30.24,,,,,,,,
Calc annual,29.46,26.34,22.78,30.24,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
