PENRITH (CASTLE PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY514299,Long,-2.754928,Lat,54.661828,Elevation,490,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3605/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.42,5.13,1.7,0.41,3.13,5.36,3.2,3.37,3.19,3.67,,1.99,2.34,2.21,4.47,0.81,2.94,1.83,2.3,3.72,2.62,2.53,4.31
February,,,,,,,,1.12,2.85,0.8,4.83,2.22,2.58,1.3,3.33,2.81,0.46,,2.36,4.05,3.98,0.51,1.19,1.86,0.87,0.75,2.34,3.48,0.48,2.84
March,,,,,,,,1.39,2.82,3.45,1.99,3.29,0.87,0.61,1.65,1.13,5.16,,0.95,2,3.22,0.93,0.34,2.21,0.61,0.88,1.91,0.78,1.8,0.94
April,,,,,,,,0.39,1.3,1.09,0.57,2.09,1.64,1.2,1.42,0.81,5.65,2.28,2.96,2.23,1.44,1.05,2.02,0.79,0.41,0.87,0.36,0.7,3.02,2.38
May,,,,,,,,2.29,0.52,1.63,2.44,2.19,3.81,1.24,3.87,1.2,3.26,1.38,2.58,1.65,1.69,1.79,1.81,3.22,2.74,1.17,1.64,3.86,1.92,2.11
June,,,,,,,,3.59,2.46,0.84,0.37,0.64,4.55,2.43,3.22,2.18,2.28,5.38,0.37,1.63,0.87,2.41,1.56,2.85,1.76,3.01,0.85,3.65,4.25,0.98
July,,,,,,,1.67,3.48,3.74,4.86,1.19,2.12,2.23,2.45,2.16,3.28,,0.93,2.43,3.37,1.94,1.18,2.81,2.6,1.21,2.89,4.2,3.15,3.77,3.3
August,,,,,,,2.29,2.3,2.01,1.46,4.8,3.05,5.15,1.79,1.63,5.63,,3.75,1.64,6.51,3.38,3.67,3.51,4.01,2.61,7.44,4.46,3.69,0.64,3.5
September,,,,,,,2.61,1.91,1.46,3.53,1.16,3.07,4.58,4.55,2.95,5.27,,3.6,0.85,6.13,3.2,2.24,3.82,5.05,2.39,2.85,3.25,4.38,0.95,2.08
October,,,,,,,2.58,8.63,2.51,4.08,4.77,3.38,4.61,3.74,5.53,0.78,,2.31,4.9,3.36,0.77,4.13,1.74,7.79,2.04,1.91,3.35,3.26,3.6,2.96
November,,,,,,,0.54,5.97,5.21,3.26,2.36,0.68,1.96,7.26,0.32,5.34,,1.84,5.43,3.93,8.67,1.81,3.55,7.24,2.11,1.36,0.94,0.77,4.71,6.06
December,,,,,,,2.31,3.15,1.34,2.6,1.59,5.84,2.36,4.2,2.28,3.3,,3.72,5.96,1.9,5.82,2.77,1.69,3.63,4,3.9,3.72,2.94,5.06,4.32
Total,,,,,,,,38.64,31.35,29.3,26.48,31.7,39.7,33.97,31.73,34.92,,,32.42,39.1,37.19,26.96,24.85,44.19,22.58,29.33,30.74,33.28,32.73,35.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12967,PENRITH: CASTLE PARK ,01/01/1937,31/12/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,
