"PENRITH (CASTLE PARK)",,,,,,,,,,,,
Grid ref,NY514299,Long,-2.754928,Lat,54.661828,,,,,,,
Station no,3605/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,4.47,0.81,2.94,1.83,2.30,3.72,2.62,2.53,4.31,,
February,3.98,0.51,1.19,1.86,0.87,0.75,2.34,3.48,0.48,2.84,,
March,3.22,0.93,0.34,2.21,0.61,0.88,1.91,0.78,1.80,0.94,,
April,1.44,1.05,2.02,0.79,0.41,0.87,0.36,0.70,3.02,2.38,,
May,1.69,1.79,1.81,3.22,2.74,1.17,1.64,3.86,1.92,2.11,,
June,0.87,2.41,1.56,2.85,1.76,3.01,0.85,3.65,4.25,0.98,,
July,1.94,1.18,2.81,2.60,1.21,2.89,4.20,3.15,3.77,3.30,,
August,3.38,3.67,3.51,4.01,2.61,7.44,4.46,3.69,0.64,3.50,,
September,3.20,2.24,3.82,5.05,2.39,2.85,3.25,4.38,0.95,2.08,,
October,0.77,4.13,1.74,7.79,2.04,1.91,3.35,3.26,3.60,2.96,,
November,8.67,1.81,3.55,7.24,2.11,1.36,0.94,0.77,4.71,6.06,,
December,5.82,2.77,1.69,3.63,4.00,3.90,3.72,2.94,5.06,4.32,,
Total,37.19,26.96,24.85,44.19,22.58,29.33,30.74,33.28,32.73,35.78,,
Calc annual,37.19,26.96,24.85,44.19,22.58,29.33,30.74,33.28,32.73,35.78,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
