PONTYPRIDD (COEDPENMAEN RD),,,,,,,,,,,,
Grid ref,ST099911,Long,-3.302594,Lat,51.611495,,,,,,,
Station no,4075/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.21,4.49,5.72,8.92,12.01,,,,,
February,,,2.24,7.25,3.25,0.56,8.96,,,,,
March,,,3.14,6.60,3.21,2.48,10.07,,,,,
April,,,4.41,1.52,3.41,2.22,0.32,,,,,
May,,,4.14,3.72,7.62,2.12,2.95,,,,,
June,,,4.19,6.47,9.65,4.56,1.47,,,,,
July,,,9.01,4.73,1.31,5.67,5.66,,,,,
August,,,6.85,5.43,2.38,9.13,5.72,,,,,
September,,,7.66,9.50,2.35,7.03,10.45,,,,,
October,,,5.24,11.82,3.86,2.53,9.62,,,,,
November,,,6.47,14.16,7.51,2.19,4.94,,,,,
December,,,2.44,8.80,11.40,10.45,5.35,,,,,
Total,,,57.00,84.49,61.67,57.86,77.52,,,,,
Calc annual,0.00,0.00,57.00,84.49,61.67,57.86,77.52,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
