CRAVEN-ARMS-WESTHOPE-COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO475863,Long,-2.7743111,Lat,52.472096,Elevation,610,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2273/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.42,3.34,3.88,5.35,3.46,3.95,3.46,5.58,2.42,1.92,2.81,2.41,5.43,1.28,0.59,2.49,2.58,0.52,2.13,2.76,3.8,1.94,2.56,3.33,5.6
February,,,,,,2.56,3.84,0.54,1.38,2.92,2.7,0.76,1.49,1.66,1.87,2.58,1.99,1.76,0.99,4.74,3.02,0.58,1.93,2.32,1.83,0.52,2.54,4.6,0.3,3.57
March,,,,,,2.49,2.69,0.27,1.65,1.93,2.29,2.12,0.81,0.46,1.54,0.95,6.74,1.23,1.79,1.23,4.07,1.92,1.22,2.12,3.29,1.18,2.01,1.35,2.33,2.04
April,,,,,,2.36,1.73,0.12,2.34,3.16,1.26,1.39,1.13,1.15,1.01,1.75,2.41,1.63,2.24,2.06,1.57,1.94,3.06,0.44,1.38,1.16,0.06,0.35,2.99,1.6
May,,,,,,0.72,1.93,1.78,0.87,2.21,3.02,3.75,2.8,0.85,4.88,2.55,3.43,1.87,3.96,1.55,2.92,2.45,2.53,2.82,4.75,0.58,1.95,2.55,1.05,1.29
June,,,,,,4.03,0.92,2.33,0.98,1.24,1.99,0.64,2.06,1.46,3.27,2.46,1.57,2.66,0.51,1.27,0.59,1.73,2.05,3.44,3.56,2.09,1.63,4.05,1.95,2.22
July,,,,,,4.7,2.72,2.13,5.47,3.73,2.06,1.81,1.55,1.97,2.84,2.97,3.39,1.51,1.78,3.91,1.73,0.91,2.92,2.39,0.4,3.78,3.22,3.5,1.66,3.5
August,,,,,,0.58,0.76,2.94,1.67,0.32,3.43,2.06,1.98,3.27,3.99,5.1,0.7,3.1,1.13,3.85,3.52,3.46,2.62,4.35,0.72,3.85,7.99,3.43,0.87,4.54
September,,,,,,2.78,2.41,1.7,0.52,1.04,1.09,1.58,2.93,2.87,2.29,4.94,1.58,2.37,2.12,4.3,2.54,1.99,2.77,1.99,1.43,3.63,5.44,5.56,0.03,4.07
October,,,,,,1.6,3.65,3.27,2.7,3.55,2.33,1.63,3.82,3.73,3.45,0.7,0.34,2.25,4.82,1.36,0.97,4.35,1.97,3.98,2.13,1.73,1.59,3.69,3.1,6.24
November,,,,,,3.32,1.84,5.08,4.63,6.72,2.65,0.65,2.23,4.05,0.47,5.58,2.09,1.6,3.51,4.35,7.33,2.57,2.08,6.61,2.52,1.08,2.11,1.93,3.4,5.72
December,,,,,,4.02,2.58,3.49,2.07,1.66,1.24,3.16,1.44,2.02,3.22,3.05,2.64,5.09,2.24,1.95,2.43,2.8,1.23,2.47,2.84,2.96,2.1,2.45,5.85,3.66
Total,,,,,,32.58,28.41,27.53,29.63,31.94,28.01,23.01,27.82,25.91,30.75,35.44,29.29,30.5,26.37,31.16,33.18,27.28,24.9,35.06,27.61,26.36,32.58,36.02,26.86,44.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950S Record sheet and is Westhope Cottage, which matches altitude",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1941 reading corrected for snow, left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 reading in the 1930s duplicates  reading from Culmington Manor, but there are 60 overlapping readings, therefore not suspicious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
