CRAVEN-ARMS-WISTANSTOW-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO432856,Long,-2.8374873,Lat,52.465372,Elevation,480,ft.,,,,,,,,,,,,,
Station no,2272,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.03,3.25,5.02,1.96,6.87,1.85,3.36,,,,,,,,
February,,,,,,,1.95,2.71,2.08,0.91,0.89,2.79,,,,,,,,,
March,,,,,,,0.4,2.73,3.31,0.29,2.48,0.44,,,,,,,,,
April,,,,,,,1.37,1.72,1.65,0.96,2.13,3.81,,,,,,,,,
May,,,,,,,0.74,1.12,1.43,2.73,2.87,4.38,,,,,,,,,
June,,,,,,,1.29,3.58,3.26,2.5,0.33,4.52,,,,,,,,,
July,,,,,,,2.19,1.72,1.47,1.61,3.15,2.94,,,,,,,,,
August,,,,,,,2.75,5.06,3.55,1.66,3.94,5.08,,,,,,,,,
September,,,,,,,0.71,3.08,1.72,1.07,3.74,1.95,,,,,,,,,
October,,,,,,,2.85,2.12,4.59,4.44,3.23,0.8,,,,,,,,,
November,,,,,,,5.97,4.27,4.44,7.57,2.91,6.12,,,,,,,,,
December,,,,,,,0.76,2.59,1.71,7.61,3.79,1.13,,,,,,,,,
Total,,,,,,,24.01,33.95,34.23,33.31,36.33,35.81,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,
"NGR is School. Gauge moved from rectory in 1926, 50 yards NW",,,,,,,,,,,,,,,,,,,,,
"5 readings in the 1920s duplicate readings at Culmington Manor, maybe suspicious particularly given that for the 3 years when the gauge was at the Rectory there are no duplicate readings.",,,,,,,,,,,,,,,,,,,,,
